product_id,name,brand,price,image_urls,description,rating,stock_status,available_sizes,fit_type,material,category,product_link
24712262,Black Striped Casual Shirt,HERE&NOW,557,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/17769212/2022/4/5/270c15c6-fbca-436a-9ed8-f884d8d27d0d1649168995501Shirts7.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/19818632/2022/9/6/2eef5900-5d2e-4c98-aff8-e880eb46cc6f1662461092751Shirts1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/24712270/2023/9/13/b1b7598a-753f-4e81-b9b8-2b0b709eae8b1694585898234-HERENOW-Men-White-Opaque-Striped-Casual-Shirt-33816945858980-6.jpg|https://assets.myntassets.com/assets/images/24712262/2023/8/29/261d8a72-f5e7-4f2e-859c-2b4b279f591d1693299598909HERENOWMenBlackOpaqueStripedCasualShirt5.jpg?im=Crop,rect=(378,1152,108,245)|https://assets.myntassets.com/assets/images/24712262/2023/8/29/261d8a72-f5e7-4f2e-859c-2b4b279f591d1693299598909HERENOWMenBlackOpaqueStripedCasualShirt5.jpg?im=Crop,rect=(152,706,291,605)|https://assets.myntassets.com/assets/images/24712262/2023/8/29/261d8a72-f5e7-4f2e-859c-2b4b279f591d1693299598909HERENOWMenBlackOpaqueStripedCasualShirt5.jpg?im=Crop,rect=(108,188,432,561)|https://assets.myntassets.com/assets/images/24712262/2023/8/29/261d8a72-f5e7-4f2e-859c-2b4b279f591d1693299598909HERENOWMenBlackOpaqueStripedCasualShirt5.jpg?im=Crop,rect=(303,101,129,43)|https://assets.myntassets.com/assets/images/24712262/2023/8/29/261d8a72-f5e7-4f2e-859c-2b4b279f591d1693299598909HERENOWMenBlackOpaqueStripedCasualShirt5.jpg","Product Details Black vertical striped opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hemSize & FitFit: Regular FitThe model (height 6') is wearing a size 40Material & CareViscose RayonMachine washSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRegular FitPrint or Pattern TypeVertical StripesOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More",4.3|682 Ratings,In Stock,38 | 40 | 42 | 44 | 46,Regular Fit,Rayon,Men Shirts 1,https://www.myntra.com/shirts/here%26now/herenow-black-striped-casual-shirt/24712262/buy
30511072,Signature Slim Fit Band Collar Formal Shirt,INVICTUS,811,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30511070/2025/3/17/764f90f5-f9fc-447d-bbc9-de2162bd3c571742191716968-INVICTUS-Signature-Slim-Fit-Band-Collar-Formal-Shirt-6541742-5.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30511071/2025/3/4/632209d2-6776-40d7-9251-35adb2f2f1fa1741078688380-INVICTUS-Signature-Slim-Fit-Band-Collar-Formal-Shirt-7021741-5.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30511074/2025/3/17/68d19014-fbb8-4a2e-a900-823557da75c21742191732121-INVICTUS-Signature-Slim-Fit-Band-Collar-Pure-Cotton-Formal-S-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30511077/2025/3/17/3023d5cc-2e4f-4984-bd85-dfc157b963cb1742191751614-INVICTUS-Signature-Slim-Fit-Band-Collar-Formal-Shirt-6211742-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30511083/2025/3/17/619c405c-079f-4b75-a5b1-0232370574881742191793655-INVICTUS-Signature-Slim-Fit-Band-Collar-Formal-Shirt-6711742-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30511114/2025/3/4/8f0ec37a-80c5-4ec8-b3c4-9f7e46c039e91741078924317-INVICTUS-Signature-Slim-Fit-Band-Collar-Formal-Shirt-5271741-3.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30511117/2025/3/4/fe307ac3-1abd-4bd5-9d80-a2fd99f07ad71741078965527-INVICTUS-Signature-Pure-Cotton-Band-Collar-Slim-Fit-Formal-S-5.jpg|https://assets.myntassets.com/assets/images/30511072/2025/3/4/be087908-3b85-4ddb-b72b-caa8d23813b91741078720066-INVICTUS-Signature-Slim-Fit-Band-Collar-Formal-Shirt-1061741-5.jpg?im=Crop,rect=(44,1066,291,173)","Product Details Rose coloured solid opaque formal shirt, has a band collar, button placket, 1 patch pocket, long regular sleeves, curved hemProduct FeaturesSuper Fine 60's Count: superior softness and lightweight comfort.Super Crafted Design and Stitching: Ensures a flawless and durable finish.Wrinkle-Resistant Fabric: Perfect for on-the-go professionals.Modern Fit: Tailored for versatility, suitable for both work and casual occasions.Breathable Material: Keeps you cool and comfortable throughout the day.Enhanced Durability: Long-lasting quality that stands up to repeated wear.Size & FitSlim FitSize worn by the model: 40Chest: 39""Height: 6'1""Material & Care86% Cotton, 13% Polyester & 1% LycraMachine washSpecificationsSleeve LengthLong SleevesCollarBand CollarFitSlim FitPrint or Pattern TypeSolidOccasionFormalLengthRegularHemlineCurvedPlacketButton PlacketSee More",4.8|5 Ratings,In Stock,38 | 39 | 40 | 42 | 44 | 46 | 48,Slim Fit,Cotton,Men Shirts 1,https://www.myntra.com/shirts/invictus/invictus-signature-slim-fit-band-collar-formal-shirt/30511072/buy
32321865,Pure Cotton Textured Relaxed Fit Casual Shirt,Levis,2549,"https://assets.myntassets.com/assets/images/32321865/2025/3/5/0d4b70cf-3a81-4014-9666-e8d5f1fc63291741150949539-Mens-Textured-Relaxed-Fit-Shirt-6761741150949278-5.jpg?im=Crop,rect=(465,1268,140,144)|https://assets.myntassets.com/assets/images/32321865/2025/3/5/0d4b70cf-3a81-4014-9666-e8d5f1fc63291741150949539-Mens-Textured-Relaxed-Fit-Shirt-6761741150949278-5.jpg?im=Crop,rect=(162,677,411,663)|https://assets.myntassets.com/assets/images/32321865/2025/3/5/0d4b70cf-3a81-4014-9666-e8d5f1fc63291741150949539-Mens-Textured-Relaxed-Fit-Shirt-6761741150949278-5.jpg?im=Crop,rect=(119,188,389,547)|https://assets.myntassets.com/assets/images/32321865/2025/3/5/0d4b70cf-3a81-4014-9666-e8d5f1fc63291741150949539-Mens-Textured-Relaxed-Fit-Shirt-6761741150949278-5.jpg?im=Crop,rect=(249,101,119,43)|https://assets.myntassets.com/assets/images/32321865/2025/3/5/0d4b70cf-3a81-4014-9666-e8d5f1fc63291741150949539-Mens-Textured-Relaxed-Fit-Shirt-6761741150949278-5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32285461/2025/4/1/b8575dc5-415c-453a-9f5d-8dc771f459ce1743487812150-Levis-Men-Slim-Fit-Chinos-Trousers-6831743487811479-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/APRIL/3/6Ua8udHj_3f948eb4b8fe4c218964ec46317c8e2b.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/19969908/2022/9/16/818db03d-8e89-4c05-ab14-fd5f554c0d041663274884190BelwabaMenBlackBelts1.jpg","Product Details Navy blue textured self design opaque casual shirt ,has a cuban collar, button placket, short regular sleeves, straight hemSize & FitFit: Relaxed FitThe model (height 6') is wearing a size 40Material & Care100% CottonMachine WashSpecificationsSleeve LengthShort SleevesCollarCuban CollarFitRelaxed FitPrint or Pattern TypeTexturedOccasionCasualLengthRegularHemlineStraightPlacketButton PlacketSee More",N/A,In Stock,38 | 40 | 44 | 46,Relaxed Fit,Cotton,Men Shirts 1,https://www.myntra.com/shirts/levis/levis-pure-cotton-textured-relaxed-fit-casual-shirt/32321865/buy
29431064,Pure Cotton Mickey Mouse Printed Relaxed Shirt,Kook N Keech Disney,569,"https://assets.myntassets.com/assets/images/29431064/2024/10/11/f5297f58-0e2f-46b0-8911-515e5dd451a21728641500074-Kook-N-Keech-Disney-Pure-Cotton-Printed-Casual-Shirt-2121728-5.jpg?im=Crop,rect=(713,1167,87,129)|https://assets.myntassets.com/assets/images/29431064/2024/10/11/f5297f58-0e2f-46b0-8911-515e5dd451a21728641500074-Kook-N-Keech-Disney-Pure-Cotton-Printed-Casual-Shirt-2121728-5.jpg?im=Crop,rect=(486,677,357,591)|https://assets.myntassets.com/assets/images/29431064/2024/10/11/f5297f58-0e2f-46b0-8911-515e5dd451a21728641500074-Kook-N-Keech-Disney-Pure-Cotton-Printed-Casual-Shirt-2121728-5.jpg?im=Crop,rect=(432,188,432,518)|https://assets.myntassets.com/assets/images/29431064/2024/10/11/f5297f58-0e2f-46b0-8911-515e5dd451a21728641500074-Kook-N-Keech-Disney-Pure-Cotton-Printed-Casual-Shirt-2121728-5.jpg?im=Crop,rect=(605,101,119,43)|https://assets.myntassets.com/assets/images/29431064/2024/10/11/f5297f58-0e2f-46b0-8911-515e5dd451a21728641500074-Kook-N-Keech-Disney-Pure-Cotton-Printed-Casual-Shirt-2121728-5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31530739/2025/2/3/132ecfbf-e5c9-4c5b-836c-31f19f36dc981738578782754-glitchez-Men-Co-Ords-7601738578782088-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/28751618/2024/4/6/47b75871-e987-459f-898c-85e105b4b9441712388064696MenDiamondSunglassesChicChainwithPendant1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31225974/2024/11/30/463c3169-1c77-4c3c-993a-37c7cda83b951732949376315-Sanjog-Silver-Plated-Diamond-Shape-Pendant--Chain-3711732949-1.jpg","Product Details Black and grey mickey mouse printed opaque casual shirt ,has a spread collar, button placket, short regular sleeves, and curved hemSize & FitRelaxed FitThe model (height 6') is wearing a size 40Material & Care100% Cotton Machine washSpecificationsSleeve LengthShort SleevesCollarSpread CollarFitRelaxed FitPrint or Pattern TypeHumour and ComicOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More",4.6|11 Ratings,In Stock,38 | 40 | 42 | 44,Relaxed Fit,Cotton,Men Shirts 1,https://www.myntra.com/shirts/kook+n+keech+disney/kook-n-keech-disney-pure-cotton-mickey-mouse-printed-relaxed-shirt/29431064/buy
31908983,Anti-Stain Anti-Odor Water Repellent Knitted Cotton Rich Casual Shirt,TURMS,3599,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/DECEMBER/10/KUZD1Im1_2fa0c1942b324a5fbd76e165b6b97595.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/DECEMBER/10/KGUrBkHK_872647987b1745e68abfc55763f0b09f.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/DECEMBER/10/qlzXTWmv_2453620ae70c45baa41c53d95d629c0d.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/DECEMBER/10/7UIkCorq_43c2ba547f3b44b998280638bf970681.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/DECEMBER/10/mvfjSU1t_958e6b359d804f379666d8bb14c90414.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/14470902/2023/11/10/0d25a3fa-b1c5-446f-a0e8-045ece3c88251699613820222HeeliumMenPackOf5Odour-FreePaddedBaseAnti-bacterialBambooAnk1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/22559100/2023/3/29/1c8e545c-ce14-4a46-b7c0-4699d7aed65d16800786925823InchHiddenElevatorHeightIncreasingBrownRomanSandals1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30218621/2024/7/16/823e0133-0db9-4cd1-92d8-ddbca9348ddf1721111485866LOREMMenTexturedLaptopBag1.jpg","Product Details Ash Grey Knitted Casual shirtAnti-Stain Anti-Odor Water RepellentLong sleevesCurved hemlineCotton Blend FabricFeatures:1) WRINKLE FREE: Our wrinkle-free technology is crafted for individuals who want to look their best without the extra effort. Designed to resist creases and maintain a smooth finish, these shirts are perfect for every occasion--from professional meetings to weekend getaways.2) 8-WAY SMART STRETCH: Experience unparalleled flexibility with our 8-way stretch knitted shirt. Designed to move effortlessly in every direction, this shirt offers maximum comfort and freedom, ensuring a perfect fit that adapts to your every move.3)ANTI STAIN: Our products are designed to resist the absorption of water-based stains, such as those from tea and coffee. We have added special coatings that repel liquids and make it easier to remove stains while wiping them.4) ANTI ODOR: Our products are treated to prevent the growth of bacteria, which can cause unpleasant smell. Our products are moisture-wicking and quick-drying, which can help to reduce the build-up of bacteria and odours.5) WATER REPELLENT: The treatment on our products creates a barrier on the fabric surface which causes water droplets to bead up and roll off the material, this helps to maintain the breathability of the fabric too.6) BREATHABLE: The breathable fabrics used in Turms Intelligent Apparels are carefully selected and tested to ensure they provide the best possible experience.  These fabrics help to regulate body temperature and keep the wearer cool, dry, and comfortable, even during intense physical activity.(Please Note: Our products will repel only tea, coffee, coke, and wine stains. Oil-based or turmeric spills are not resisted. Slight colour variations may occur due to lighting or display settings.)Size & FitTailored FitThe model (height 6') is wearing a size MMaterial & CarePolycottonMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitTailored FitBrand Fit NameClassicPrint or Pattern TypeSolidOccasionCasualLengthRegularHemlineCurvedSee More",N/A,In Stock,38 | 40 | 42 | 44 | 46 | 48,Tailored Fit,Cotton,Men Shirts 1,https://www.myntra.com/shirts/turms/turms-anti-stain-anti-odor-water-repellent-knitted-cotton-rich-casual-shirt/31908983/buy
31165817,Anti Stain Anti Odor Water Repellent Mandarin Collar Cotton Rich Linen Shirt,TURMS,3079,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/28/nKiuFECj_1251c8c785854809b6f8cc6bc5596939.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/28/nyTUIola_3cc103634a87418fad99883c631edb4f.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/28/IV2Pp6st_e4c4196049f848d79aaebacf311fd451.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/28/T1TpyCqy_66dfb2d35d544777b890c7a017969ee2.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/28/lpnRipgi_a2f67151d6854949a39429b39f0f7618.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/28/i00teGi9_b0dfe6129d3e4ff9948d0b4cdabe0133.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/AUGUST/12/SldzJIWl_28a43fe3feb2440682e48e3635bc8b5c.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32133578/2024/12/30/fc8f99df-11c0-417e-b280-d48ecc84fb6a1735565726055PocketSquares1.jpg","Product Details Grey Casual Linen shirtAnti-Stain Anti-Odor Water RepellentMandarin collarButton placketLong sleevesCurved hemlineCotton rich Linen FabricFeatures:1) ANTI STAIN: Our products are designed to resist the absorption of water-based stains, such as those from tea and coffee. We have added special coatings that repel liquids and make it easier to remove stains while wiping them.2) ANTI ODOR: Our products are treated to prevent the growth of bacteria, which can cause unpleasant smell. Our products are moisture-wicking and quick-drying, which can help to reduce the build-up of bacteria and odours.3) WATER REPELLENT: The treatment on our products creates a barrier on the fabric surface which causes water droplets to bead up and roll off the material, this helps to maintain the breathability of the fabric too.4) BREATHABLE: The breathable fabrics used in Turms Intelligent Apparels are carefully selected and tested to ensure they provide the best possible experience.  These fabrics help to regulate body temperature and keep the wearer cool, dry, and comfortable, even during intense physical activity.(Please Note: Our products will repel only tea, coffee, coke, and wine stains. Oil-based or turmeric spills are not resisted. Slight colour variations may occur due to lighting or display settings.)Size & FitTailored FitThe model (height 6') is wearing a size MMaterial & CareCotton LinenMachine WashSpecificationsSleeve LengthLong SleevesCollarMandarin CollarFitTailored FitBrand Fit NameClassicPrint or Pattern TypeSolidOccasionCasualLengthRegularHemlineCurvedSee More",N/A,In Stock,38 | 40 | 42 | 44 | 46,Tailored Fit,Cotton,Men Shirts 1,https://www.myntra.com/shirts/turms/turms-anti-stain-anti-odor-water-repellent-mandarin-collar-cotton-rich-linen-shirt/31165817/buy
19348462,Men Purple Solid Formal Shirt,Peter England,879,"https://assets.myntassets.com/assets/images/19348462/2022/8/2/3d8180dc-024b-451c-868f-c57e341c99b91659427341002MenPurpleFullSleevesFormalShirt5.jpg?im=Crop,rect=(368,1196,151,172)|https://assets.myntassets.com/assets/images/19348462/2022/8/2/3d8180dc-024b-451c-868f-c57e341c99b91659427341002MenPurpleFullSleevesFormalShirt5.jpg?im=Crop,rect=(314,188,378,561)|https://assets.myntassets.com/assets/images/19348462/2022/8/2/3d8180dc-024b-451c-868f-c57e341c99b91659427341002MenPurpleFullSleevesFormalShirt5.jpg?im=Crop,rect=(400,576,292,764)|https://assets.myntassets.com/assets/images/19348462/2022/8/2/3d8180dc-024b-451c-868f-c57e341c99b91659427341002MenPurpleFullSleevesFormalShirt5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21097320/2022/12/6/69e30a41-2117-459a-b4bf-db98adc7c02f1670331773835Trousers1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Purple textured solid opaque Formal shirt ,has a spread collar,  button placket,  long regular sleeves,  straight hemSize & FitBrand Fit:  Fit: Regular Fit  The model (height 6') is wearing a size 40Material & Care100% CottonMachine washSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRegular FitPrint or Pattern TypeSolidOccasionFormalLengthRegularHemlineStraightPlacketButton PlacketSee More",4.4|294 Ratings,In Stock,39 | 40 | 42 | 44 | 46,Regular Fit,Cotton,Men Shirts 1,https://www.myntra.com/shirts/peter+england/peter-england-men-purple-solid-formal-shirt/19348462/buy
29769222,Anti-Stain Anti-Odor Water Repellent Premium Cotton Oxford Shirt,TURMS,2870,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769212/2024/9/23/1fa1529b-91d7-4878-946a-637b50b7a51c1727089471789-TURMS-Spread-Collar-Classic-Pure-Cotton-Formal-Shirt-4861727-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769214/2024/9/23/8343e0a3-74bb-4d11-926c-50c4a3d8f4811727089482386-TURMS-Classic-Textured-Cotton-Casual-Shirt-7101727089482060-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769216/2024/8/2/c703e3be-8f01-4a8c-b20b-9ca5412dd2411722583219925-TURMS-Classic-Oxford-Weave-Pure-Cotton-Casual-Shirt-67817225-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769218/2024/7/11/654cd865-93f6-4541-959d-686f57bc54591720704466752-TURMS-Spread-Collar-Classic-Pure-Cotton-Classic-Casual-Shirt-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769220/2024/8/2/4b61f51d-103c-4ba5-abd9-ecc87acc2e3b1722583226373-TURMS-Spread-Collar-Classic-Pure-Cotton-Formal-Shirt-9671722-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769224/2024/8/2/819dfdbf-4c9f-4d1e-a9aa-38cc614788681722583485095-TURMS-Classic-Pure-Cotton-Oxford-Casual-Shirt-61917225834845-2.jpg|https://assets.myntassets.com/assets/images/29769222/2024/7/11/28261ab8-33aa-45b3-81bf-a4c8d75142271720704473014-TURMS-Spread-Collar-Classic-Pure-Cotton-Formal-Shirt-3217207-5.jpg?im=Crop,rect=(497,620,119,172)|https://assets.myntassets.com/assets/images/29769222/2024/7/11/28261ab8-33aa-45b3-81bf-a4c8d75142271720704473014-TURMS-Spread-Collar-Classic-Pure-Cotton-Formal-Shirt-3217207-5.jpg?im=Crop,rect=(260,1268,216,144)","Product Details Turquoise Solid Opaque Casual shirtAnti-Stain Anti-Odor Water Repellent 1 patch pocketLong regular sleeves Curved hemTailored FitFeatures:1) ANTI STAIN: Our products are designed to resist the absorption of water-based stains, such as those from tea and coffee. We have added special coatings that repel liquids and make it easier to remove stains while wiping them.2) ANTI ODOR: Our products are treated to prevent the growth of bacteria, which can cause unpleasant smell. Our products are moisture-wicking and quick-drying, which can help to reduce the build-up of bacteria and odors.3) WATER REPELLENT: The treatment on our products creates a barrier on the fabric surface which causes water droplets to bead up and roll off the material, this helps to maintain the breathability of the fabric too.4) BREATHABLE: The breathable fabrics used in Turms Intelligent Apparels are carefully selected and tested to ensure they provide the best possible experience.  These fabrics help to regulate body temperature and keep the wearer cool, dry, and comfortable, even during intense physical activity.(Please Note: Our products will repel only tea, coffee, coke, and wine stains. Oil-based or turmeric spills are not resisted. Slight colour variations may occur due to lighting or display settings.)Size & FitBrand Fit: ClassicFit: Tailored FitThe model (height 6') is wearing a size 40Material & Care100% CottonMachine washSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitTailored FitBrand Fit NameClassicPrint or Pattern TypeSolidOccasionFormalLengthRegularHemlineCurvedSee More",N/A,In Stock,38 | 40 | 42 | 44 | 46 | 48,Tailored Fit,Cotton,Men Shirts 1,https://www.myntra.com/shirts/turms/turms-anti-stain-anti-odor-water-repellent-premium-cotton-oxford-shirt/29769222/buy
29769218,Anti-Stain Anti-Odor Water Repellent Premium Cotton Oxford Shirt,TURMS,2870,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769212/2024/9/23/1fa1529b-91d7-4878-946a-637b50b7a51c1727089471789-TURMS-Spread-Collar-Classic-Pure-Cotton-Formal-Shirt-4861727-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769214/2024/9/23/8343e0a3-74bb-4d11-926c-50c4a3d8f4811727089482386-TURMS-Classic-Textured-Cotton-Casual-Shirt-7101727089482060-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769216/2024/8/2/c703e3be-8f01-4a8c-b20b-9ca5412dd2411722583219925-TURMS-Classic-Oxford-Weave-Pure-Cotton-Casual-Shirt-67817225-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769220/2024/8/2/4b61f51d-103c-4ba5-abd9-ecc87acc2e3b1722583226373-TURMS-Spread-Collar-Classic-Pure-Cotton-Formal-Shirt-9671722-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769222/2024/7/11/68c771ae-8785-4a88-90ac-c52d735cf7ee1720704473275-TURMS-Spread-Collar-Classic-Pure-Cotton-Formal-Shirt-3217207-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29769224/2024/8/2/819dfdbf-4c9f-4d1e-a9aa-38cc614788681722583485095-TURMS-Classic-Pure-Cotton-Oxford-Casual-Shirt-61917225834845-2.jpg|https://assets.myntassets.com/assets/images/29769218/2024/7/11/433b01a7-7d66-4084-8079-c0d86d72d95c1720704464592-TURMS-Spread-Collar-Classic-Pure-Cotton-Classic-Casual-Shirt-4.jpg?im=Crop,rect=(638,1268,97,158)|https://assets.myntassets.com/assets/images/29769218/2024/7/11/433b01a7-7d66-4084-8079-c0d86d72d95c1720704464592-TURMS-Spread-Collar-Classic-Pure-Cotton-Classic-Casual-Shirt-4.jpg?im=Crop,rect=(530,749,194,317)","Product Details Pink Solid Opaque Casual shirtAnti-Stain Anti-Odor Water Repellent 1 patch pocketLong regular sleeves Curved hemTailored FitFeatures:1) ANTI STAIN: Our products are designed to resist the absorption of water-based stains, such as those from tea and coffee. We have added special coatings that repel liquids and make it easier to remove stains while wiping them.2) ANTI ODOR: Our products are treated to prevent the growth of bacteria, which can cause unpleasant smell. Our products are moisture-wicking and quick-drying, which can help to reduce the build-up of bacteria and odors.3) WATER REPELLENT: The treatment on our products creates a barrier on the fabric surface which causes water droplets to bead up and roll off the material, this helps to maintain the breathability of the fabric too.4) BREATHABLE: The breathable fabrics used in Turms Intelligent Apparels are carefully selected and tested to ensure they provide the best possible experience.  These fabrics help to regulate body temperature and keep the wearer cool, dry, and comfortable, even during intense physical activity.(Please Note: Our products will repel only tea, coffee, coke, and wine stains. Oil-based or turmeric spills are not resisted. Slight colour variations may occur due to lighting or display settings.)Size & FitBrand Fit: ClassicFit: Tailored FitThe model (height 6') is wearing a size 40Material & Care100% CottonMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitTailored FitBrand Fit NameClassicPrint or Pattern TypeSolidOccasionCasualLengthRegularHemlineCurvedSee More",N/A,In Stock,38 | 40 | 42 | 44 | 46 | 48,Tailored Fit,Cotton,Men Shirts 1,https://www.myntra.com/shirts/turms/turms-anti-stain-anti-odor-water-repellent-premium-cotton-oxford-shirt/29769218/buy
30878023,Men Solid Cotton Casual Shirt,The Souled Store,1799,"https://assets.myntassets.com/assets/images/2024/SEPTEMBER/6/grtk5fdo_224b1b36cfdd4dbf9f2536c6124b5394.jpg?im=Crop,rect=(335,1354,119,58)|https://assets.myntassets.com/assets/images/2024/SEPTEMBER/6/grtk5fdo_224b1b36cfdd4dbf9f2536c6124b5394.jpg?im=Crop,rect=(357,202,432,562)|https://assets.myntassets.com/assets/images/2024/SEPTEMBER/6/grtk5fdo_224b1b36cfdd4dbf9f2536c6124b5394.jpg?im=Crop,rect=(357,706,378,662)|https://assets.myntassets.com/assets/images/2024/SEPTEMBER/6/grtk5fdo_224b1b36cfdd4dbf9f2536c6124b5394.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/12/ArOA6HWc_1bbda1d379e34162884e96f0eb91fa2c.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/24/BoZWk0Vz_3a3c0619816047279a9d95011e5d06f6.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/27/X9GEmgAG_858909e590dc45df9925c9655d00a3cf.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/18/DmaYMwQT_9eafac0cf5814f87bdd53d5e6f8110b3.jpg",Product Details Olive opaque casual shirtButton placketFlap lengthLong sleevesCurved hemlineSize & FitRegular FitThe model (height 6') is wearing a size MMaterial & CareCottonMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRegular FitPrint or Pattern TypeSolidOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More,3.7|26 Ratings,In Stock,44 | 46 | 48 | 50 | 52 | 54,Regular Fit,Cotton,Men Shirts 1,https://www.myntra.com/shirts/the+souled+store/the-souled-store-men-solid-cotton-casual-shirt/30878023/buy
