product_id,name,brand,price,image_urls,description,rating,stock_status,available_sizes,fit_type,material,category,product_link
31027952,The Life Co. Women Slim Flare High-Rise Light Shade Jeans,Roadster,695,"https://assets.myntassets.com/assets/images/31027952/2024/12/24/94a5cefb-b68c-47c4-b6e9-4d513844321a1735022159092-Roadster-Women-Jeans-641735022158528-4.jpg?im=Crop,rect=(87,1296,194,130)|https://assets.myntassets.com/assets/images/31027952/2024/12/24/94a5cefb-b68c-47c4-b6e9-4d513844321a1735022159092-Roadster-Women-Jeans-641735022158528-4.jpg?im=Crop,rect=(130,519,421,835)|https://assets.myntassets.com/assets/images/31027952/2024/12/24/94a5cefb-b68c-47c4-b6e9-4d513844321a1735022159092-Roadster-Women-Jeans-641735022158528-4.jpg?im=Crop,rect=(184,202,400,461)|https://assets.myntassets.com/assets/images/31027952/2024/12/24/94a5cefb-b68c-47c4-b6e9-4d513844321a1735022159092-Roadster-Women-Jeans-641735022158528-4.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/1/rwz7vchE_2efd9072c6624fd1bd1af2636d50e5a3.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/29433416/2024/7/25/4bb4ec5f-db00-4fca-9427-a08b526803ac1721908529872-Roadster-Women-Sweatshirts-2571721908529369-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31024416/2024/11/13/9b8922d0-b296-460b-b1ab-2823f59a90f31731501157011-DressBerry-Women-Tops-1221731501156328-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/11/kSO3eV8K_52457a23c29c426c974e9aaa22f91267.jpg","Product Details Light shade, no fade off white jeansSlim flare fitHigh-riseClean lookStretchable5 pocketsLength: regularSize & FitFit:  Slim Flare FitThe model (height 5'8) is wearing a size 28Material & Care78% Cotton, 20% Polyester & 2% ElastaneMachine WashSpecificationsDistressClean LookWaist RiseHigh-RiseFadeNo FadeShadeLightFitSlim FitLengthRegularWaistbandWith belt loopsStretchStretchableSee More",4.4|11 Ratings,In Stock,26 | 28 | 30 | 32 | 34 | 36,Slim Fit,Cotton,Women Jeans 1,https://www.myntra.com/jeans/roadster/the-roadster-life-co-women-slim-flare-high-rise-light-shade-jeans/31027952/buy
30415552,Women Smart Bootcut High-Rise Stretchable Jeans,BROADSTAR,1289,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/FEBRUARY/10/46qj5Cj0_d17048e0265d41f6b490a2f02369f6a9.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/10/7e24zxjb_3498b70e15e540d1b919bac1b72955e5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/APRIL/24/R69ZZfI2_502b9a12cabe4114af25c4cb6f05def0.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/21/tL95HbMQ_bf0995ed6c7a491f84233a23dca14c9f.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31046817/2025/2/19/fd7201f7-3f28-4871-bcda-a801ca7ecb331739944712156-French-Connection-Women-Tops-301739944711653-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31621487/2025/2/5/e04c0c92-15a3-408f-b150-e8aab05ed5a41738744368679-Stylecast-X-Hersheinbox-Women-Tops-3931738744368288-1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Coloured shade, no fade black jeansBootcut, high-riseBrand Fit: smartClean LookStretchable4 pocketLength: regularSize & FitBrand Fit: Smart  Fit: Bootcut  Stretchable  The model (height 5'8) is wearing a size 28Material & CareCottonMachine WashSpecificationsDistressClean LookWaist RiseHigh-RiseFadeNo FadeShadeColouredBrand Fit NameSmartFitBootcutLengthRegularWaistbandElasticatedSee More",3|75 Ratings,In Stock,28 | 30 | 32 | 34,N/A,Cotton,Women Jeans 1,https://www.myntra.com/jeans/broadstar/broadstar-women-smart-bootcut-high-rise-stretchable-jeans/30415552/buy
31363128,Women Urban Movement Light Fade Skater Fit Jeans,glitchez,661,"https://assets.myntassets.com/assets/images/2025/FEBRUARY/20/Zd7WLoZ5_eb601940a66f420796836dd45cba5cb3.jpg?im=Crop,rect=(681,1196,227,187)|https://assets.myntassets.com/assets/images/2025/FEBRUARY/20/Zd7WLoZ5_eb601940a66f420796836dd45cba5cb3.jpg?im=Crop,rect=(368,404,442,907)|https://assets.myntassets.com/assets/images/2025/FEBRUARY/20/Zd7WLoZ5_eb601940a66f420796836dd45cba5cb3.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30291357/2024/10/3/00e47315-fca3-4fda-b614-50f88a089d331727953763092-Womens-Long-Sleeve-Spread-Collar-Shirt-7551727953762479-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/APRIL/23/Jolhd1w5_efa6efb931b845288eddb55028d5d13f.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/DECEMBER/7/y3DcoNOK_d38b0ca2367a45fe8da43d9ae4c6aae2.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26132340/2023/11/30/15c681b4-990c-48c8-951f-5eb250fc18fc1701319753802KobSookWomenWhiteSneakers1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/28/vobQpJiW_f486a7a6626048bdb645cec08efd78a4.jpg","Product Details Featuring a loose, carefree cut, these skater fit jeans offer maximum movement and a bold, youthful aesthetic.Color: BlueClosure: Button and zipPocket Type: 5Size & Fit Fit: Mom Fit  Non Stretchable  The model (height 5'8) is wearing a size 28Material & Care100% CottonMachine washSpecificationsDistressClean LookWaist RiseMid-RiseFadeLight FadeShadeMediumFitMom FitLengthRegularWaistbandWith belt loopsStretchNon StretchableSee More",4|50 Ratings,In Stock,26 | 28 | 30 | 32 | 34,N/A,Cotton,Women Jeans 1,https://www.myntra.com/jeans/glitchez/glitchez-women-urban-movement-light-fade-skater-fit-jeans/31363128/buy
31023707,Wide-Leg High Rise Clean Look Regular Length Stretchable Shaping Denim Jeans,DOLCE CRUDO,1298,"https://assets.myntassets.com/assets/images/2024/SEPTEMBER/20/EJKmqt1T_179ecab81bec423e83a7658cb87e297b.jpg?im=Crop,rect=(681,1253,151,173)|https://assets.myntassets.com/assets/images/2024/SEPTEMBER/20/EJKmqt1T_179ecab81bec423e83a7658cb87e297b.jpg?im=Crop,rect=(519,159,32,43)|https://assets.myntassets.com/assets/images/2024/SEPTEMBER/20/EJKmqt1T_179ecab81bec423e83a7658cb87e297b.jpg?im=Crop,rect=(238,519,562,821)|https://assets.myntassets.com/assets/images/2024/SEPTEMBER/20/EJKmqt1T_179ecab81bec423e83a7658cb87e297b.jpg?im=Crop,rect=(389,116,130,72)|https://assets.myntassets.com/assets/images/2024/SEPTEMBER/20/EJKmqt1T_179ecab81bec423e83a7658cb87e297b.jpg?im=Crop,rect=(378,216,238,274)|https://assets.myntassets.com/assets/images/2024/SEPTEMBER/20/EJKmqt1T_179ecab81bec423e83a7658cb87e297b.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31429151/2025/2/25/f38497a7-c514-4ad0-aefc-b267736c43811740456988936-glitchez-Women-Tshirts-8501740456988285-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/29421818/2024/5/8/133d6934-f30e-4eed-9c9b-c9eb17f4ceec1715162524692FabStarWomenComfortOpaqueCasualShirt1.jpg","Product Details   Medium shade,  heavy fade blue jeans   Wide leg,  high-rise   Clean look   Stretchable   5 pocket   Length: regular  Size & Fit Fit: Wide Leg  Stretchable  The model (height 5'8) is wearing a size 28Material & Carecottonmachine washSpecificationsDistressClean LookType of DistressCat ScratchesWaist RiseHigh-RiseFadeHeavy FadeShadeMediumFitWide LegLengthRegularWaistbandWithout belt loopsSee More",4|142 Ratings,In Stock,26 | 28 | 30 | 32 | 34 | 36 | 38,N/A,Cotton,Women Jeans 1,https://www.myntra.com/jeans/dolce+crudo/dolce-crudo-wide-leg-high-rise-clean-look-regular-length-stretchable-shaping-denim-jeans/31023707/buy
15283580,Women Blue Skinny Fit Stretchable High-Rise Jeans,DOLCE CRUDO,942,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32021333/2025/1/7/eb57e6db-8fdf-4568-a68b-8c189f0698491736237310270-DOLCE-CRUDO-Women-Skinny-Fit-High-Rise-Light-Fade-Stretchabl-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32021338/2025/1/7/35ca5246-5090-4d5b-b227-2b5df3aee34d1736237344941-DOLCE-CRUDO-Women-Skinny-Fit-Stretchable-Jeans-6501736237344-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32021344/2025/1/7/c5416b7d-e037-44c5-9d3e-14ac4c5855b21736237382613-DOLCE-CRUDO-Women-Slim-Fit-High-Rise-Stretchable-Jeans-75917-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32021345/2025/1/7/639db2de-8529-4924-9e6f-61ed20363ab71736237396408-DOLCE-CRUDO-Women-Skinny-Fit-High-Rise-Light-Fade-Stretchabl-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32021347/2025/1/7/3e9fdfb7-8bf6-4cdf-afff-684ea0573e231736237401062-DOLCE-CRUDO-Women-Skinny-Fit-High-Rise-Heavy-Fade-Stretchabl-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32021355/2025/1/7/837cc7d3-9136-403b-a657-a8f77cee5feb1736237461914-DOLCE-CRUDO-Women-Skinny-Fit-High-Rise-Mildly-Distressed-Str-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32021371/2025/1/7/2a462733-a0ca-4ade-9152-b41b849603cf1736237631779-DOLCE-CRUDO-Women-Skinny-Fit-High-Rise-Stretchable-Jeans-138-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32021372/2025/1/7/bf794bcd-7aff-4970-9a8a-190cbfd31dd11736237637431-DOLCE-CRUDO-Women-Slim-Fit-High-Rise-Mildly-Distressed-Stret-1.jpg","Product Details Medium shade, no fade blue jeansSkinny fit, high-riseClean lookStretchable5 pocketLength: regular Size & FitFit: Skinny FitStretchableThe model (height 5'8) is wearing a size 28Material & CareCotton  Machine washSpecificationsDistressClean LookWaist RiseHigh-RiseFadeNo FadeShadeMediumFitSkinny FitLengthRegularWaistbandWith belt loopsStretchStretchableSee More",4.4|2.1k Ratings,In Stock,26 | 28 | 30 | 32 | 34 | 36 | 38,Skinny Fit,Cotton,Women Jeans 1,https://www.myntra.com/jeans/dolce+crudo/dolce-crudo-women-blue-skinny-fit-stretchable-high-rise-jeans/15283580/buy
30450624,Women Street Edge Relaxed Fit Cargo Style Jeans,DressBerry,701,"https://assets.myntassets.com/assets/images/2025/FEBRUARY/20/cRQBeNO6_4939581894354de29e376e344084d15e.jpg?im=Crop,rect=(724,1124,108,230)|https://assets.myntassets.com/assets/images/2025/FEBRUARY/20/cRQBeNO6_4939581894354de29e376e344084d15e.jpg?im=Crop,rect=(368,245,21,58)|https://assets.myntassets.com/assets/images/2025/FEBRUARY/20/cRQBeNO6_4939581894354de29e376e344084d15e.jpg?im=Crop,rect=(130,533,659,807)|https://assets.myntassets.com/assets/images/2025/FEBRUARY/20/cRQBeNO6_4939581894354de29e376e344084d15e.jpg?im=Crop,rect=(260,130,108,43)|https://assets.myntassets.com/assets/images/2025/FEBRUARY/20/cRQBeNO6_4939581894354de29e376e344084d15e.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/APRIL/24/Dj90GzhC_ad4b9d06b86641fc8c417984dd3ceb45.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18148560/2022/5/5/a7401047-3406-4cff-85c3-806293caf4b91651694061207STREET9WomenRedPrintedHighNeckBioFinishAppliqueBoxyOutdoorT-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30232261/2024/10/25/a990e015-8443-4583-8256-fb32e009f82e1729850280384-DressBerry-Women-Tshirts-7061729850279738-1.jpg","Product Details These Jeans seamlessly blend utility and style, offering a fresh twist on streetwear essentials for effortless comfort and laid-back cool.Color: Blue  Closure: Button & Zip Pocket Type: 8 PocketsSize & FitFit: Relaxed FitThe model (height 5'8) is wearing a size 28Material & Care100% CottonMachine WashSpecificationsDistressClean LookWaist RiseMid-RiseFadeNo FadeShadeLightFitRelaxed FitLengthRegularWaistbandWith belt loopsStretchNon StretchableSee More",3.9|49 Ratings,In Stock,28 | 30 | 32 | 34 | 36,Relaxed Fit,Cotton,Women Jeans 1,https://www.myntra.com/jeans/dressberry/dressberry-women-street-edge-relaxed-fit-cargo-style-jeans/30450624/buy
31716662,Women Street Vibe Pleated Detail Straight Palazzo Fit Jeans,glitchez,571,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/28/1bdg4iYG_ae983517530b4f5d9d6fd2782dcaf1e2.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/22966408/2023/5/2/daf283f1-3c60-4c5c-ba9a-56297aa445421683004813836SLETTERNAMEMANGALSUTRA1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/7/hbp4geVB_125375574c2c49d29e7e0658879b6c15.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/AUGUST/15/7cwzGslf_73522ba7eb704aa3b1436895fe31d633.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/14861878/2021/8/17/c8263b7d-582e-4402-a411-b962feb06e811629194667970-Campus-Sutra-Women-Solid-Stylish-Casual-Sweatshirts-71316291-1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Straight and flowy. These palazzo jeans offer a comfortable and on-trend look. Street vibes, all day long.Color: Blue Closure: Button & Zip Pocket Type: 4 PocketsSize & FitFit: Straight Palazzo FitThe model (height 5'8) is wearing a size 26Material & Care100% CottonMachine WashSpecificationsDistressClean LookWaist RiseMid-RiseFadeNo FadeShadeMediumFitStraight FitLengthRegularWaistbandWith belt loopsStretchNon StretchableSee More",4.2|11 Ratings,In Stock,26 | 28 | 30 | 32 | 34 | 36,Straight Fit,Cotton,Women Jeans 1,https://www.myntra.com/jeans/glitchez/glitchez-women-street-vibe-pleated-detail-straight-palazzo-fit-jeans/31716662/buy
33209654,Women Flared High-Rise Light Fade Jeans,Kraus Jeans,1097,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/27621746/2024/2/15/59843887-1bef-4fde-b7ba-d565303b3f6b1708008704336WomenCottonBraPantySetforLingerieSetPackof1ColorBlue1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21709280/2023/1/25/ff89b5ae-1b44-47a9-ac38-2ae6b5b4856d1674653247631Shapewear1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/OCTOBER/14/mp1kc6oW_457c97309e544cf99428b360795d8718.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/25285602/2023/9/30/ff24e844-e0c9-4c81-8b91-71b4b45b1f401696065204547RainbowBucketHat-Multi1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/27756226/2024/2/22/9f9c5c32-26ad-464e-acea-97d60315527d1708593375633WomenPackof2MockCamisolesCleavageCoverRedBlack1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details   Dark shade,  light fade blue jeans   Flared,  high-rise   Clean look   Non stretchable   4 pocket   Length: regular  Size & Fit Fit: Flared  Non Stretchable  The model (height 5'8) is wearing a size 28Material & CareMaterial :Cotton,PolyesterMachine WashSpecificationsDistressClean LookWaist RiseHigh-RiseFadeLight FadeShadeDarkFitFlaredLengthRegularWaistbandWith belt loopsStretchNon StretchableSee More",N/A,In Stock,28 | 30 | 32 | 36,N/A,Cotton,Women Jeans 1,https://www.myntra.com/jeans/kraus+jeans/kraus-jeans-women-flared-high-rise-light-fade-jeans/33209654/buy
32385489,Women Wide Leg High-Rise Light Fade Stretchable Jeans,DOLCE CRUDO,1298,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27572266/2024/2/13/cf40403f-9695-4dab-b4b8-1f5f4d163c081707824981867DOLCECRUDOWomenBootcutHigh-RiseStretchableJeans2.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32385475/2025/2/26/3a4619be-cdd8-4b04-966e-16ab75e1a7e11740549156382-DOLCE-CRUDO-Women-Bootcut-High-Rise-Heavy-Fade-Stretchable-J-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32385480/2025/2/7/609b036f-1cc8-436d-89c9-9b22c9a2e1cd1738928037619-DOLCE-CRUDO-Women-Bootcut-High-Rise-Light-Fade-Stretchable-J-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32385481/2025/1/22/70537371-ca5c-4e03-ada1-8a35a436e4241737541439194-DOLCE-CRUDO-Women-Bootcut-High-Rise-Heavy-Fade-Stretchable-J-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32385483/2025/2/26/1dd6d627-0b4c-4a8d-bb86-74f17ef00cd31740549172010-DOLCE-CRUDO-Women-Wide-Leg-Light-Fade-Stretchable-Jeans-2551-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32385497/2025/1/22/8291c050-23e3-4ef2-bdf9-70634bf2084f1737541533111-DOLCE-CRUDO-Women-Wide-Leg-High-Rise-Light-Fade-Stretchable--1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32385500/2025/1/18/f6766eb4-9d42-433e-b4f5-80f8aaa7caf11737184161963-DOLCE-CRUDO-Women-High-Rise-Mildly-Distressed-Heavy-Fade-Str-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32385502/2025/1/22/bbea7a30-83bf-4b4c-833a-c8e34a421d1c1737541560626-DOLCE-CRUDO-Women-Flared-Light-Fade-Stretchable-Jeans-553173-1.jpg","Product Details   Light shade,  light fade blue jeans   Wide leg,  high-rise   Clean look   Stretchable   5 pocket   Length: regular  Size & Fit Fit: Wide Leg  Stretchable  The model (height 5'8) is wearing a size 28Material & Care71.4%Cotton, 26.6%Polyester, 2%Elastane|Machine wash cold with like colors, wash inside out, do not tumble dry, do not bleachSpecificationsDistressClean LookType of DistressCat ScratchesWaist RiseHigh-RiseFadeLight FadeShadeLightFitWide LegLengthRegularWaistbandWithout belt loopsSee More",3.6|28 Ratings,In Stock,26 | 28 | 30 | 32 | 34,N/A,Cotton,Women Jeans 1,https://www.myntra.com/jeans/dolce+crudo/dolce-crudo-women-wide-leg-high-rise-light-fade-stretchable-jeans/32385489/buy
31101801,Women Straight Fit High-Rise Stretchable Jeans,Chemistry,857,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31101821/2025/3/21/a55caa31-4681-4511-ad0c-2738ffe257421742540786989-Chemistry-Women-Straight-Fit-Stretchable-Jeans-2381742540786-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31101871/2025/2/11/e75989df-c033-48b1-9d41-aaab030fbe9e1739270459448-Chemistry-Women-Jeans-3031739270458783-1.jpg|https://assets.myntassets.com/assets/images/31101801/2025/2/11/5d2951c6-05c4-498b-8826-4b659a6f067d1739270449134-Chemistry-Women-Jeans-4151739270448541-5.jpg?im=Crop,rect=(346,216,22,44)|https://assets.myntassets.com/assets/images/31101801/2025/2/11/5d2951c6-05c4-498b-8826-4b659a6f067d1739270449134-Chemistry-Women-Jeans-4151739270448541-5.jpg?im=Crop,rect=(540,792,119,245)|https://assets.myntassets.com/assets/images/31101801/2025/2/11/5d2951c6-05c4-498b-8826-4b659a6f067d1739270449134-Chemistry-Women-Jeans-4151739270448541-5.jpg?im=Crop,rect=(540,1253,141,115)|https://assets.myntassets.com/assets/images/31101801/2025/2/11/5d2951c6-05c4-498b-8826-4b659a6f067d1739270449134-Chemistry-Women-Jeans-4151739270448541-5.jpg?im=Crop,rect=(173,274,378,461)|https://assets.myntassets.com/assets/images/31101801/2025/2/11/5d2951c6-05c4-498b-8826-4b659a6f067d1739270449134-Chemistry-Women-Jeans-4151739270448541-5.jpg?im=Crop,rect=(227,533,389,735)|https://assets.myntassets.com/assets/images/31101801/2025/2/11/5d2951c6-05c4-498b-8826-4b659a6f067d1739270449134-Chemistry-Women-Jeans-4151739270448541-5.jpg","Product Details Coloured shade no fade off white jeansStraight fitHigh-riseClean lookStretchable5 pocketLength: RegularHas a elasticated waistButton & zip closureSize & FitFit: Straight FitStretchableThe model (height 5'8) is wearing a size 28Material & Care78.4% Cotton, 20.3% Polyester & 1.3% SpandexMachine washSpecificationsDistressClean LookWaist RiseHigh-RiseFadeNo FadeShadeColouredFitStraight FitLengthRegularWaistbandElasticatedStretchStretchableSee More",N/A,In Stock,26 | 28 | 30 | 32 | 34,Straight Fit,Cotton,Women Jeans 1,https://www.myntra.com/jeans/chemistry/chemistry-women-straight-fit-high-rise-stretchable-jeans/31101801/buy
