product_id,name,brand,price,image_urls,description,rating,stock_status,available_sizes,fit_type,material,category,product_link
31012271,The Lifestyle Co. Women Cuban Collar Vertical Striped Cotton Boxy Casual Shirt,Roadster,699,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/DECEMBER/3/rQPQba5Q_eb4f8024d9504ce696078a5e39538d79.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/DECEMBER/3/U391ItoW_73154d5fb8414493a4ea9e3ac0e07a3c.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/DECEMBER/3/J18AJ0KR_1610bce134c74419afcabbdd390b1978.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/FEBRUARY/14/lFYp9ASi_1c935cfdebf9443d910bd322b3ac2c9d.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/17037528/2022/10/7/d82ccb07-7632-4e16-8050-1dc1fbd362331665138479932-Chemistry-Black--Beige-A-Line-Midi-Dress-6951665138479486-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/1341774/2016/8/26/11472204083913-Fastrack-Women-Black--White-Dial-Watch-6134SM01-8211472204083640-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21220180/2022/12/16/add9fce8-e45e-49ea-b17b-a540623d4bf61671196694606NextOneWomenBlackWhiteSkinnyFitCapris1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/23/RHWgTuzY_3b1c7365ad9e4d76b6de611e54dce243.jpg",Product Details Black opaque casual shirtCuban collarButton placketStraight hemlineSize & FitBoxyThe model (height 5.8') is wearing a size SMaterial & CareCottonHand WashSpecificationsSleeve LengthShort SleevesCollarCuban CollarFitBoxyPrint or Pattern TypeVertical StripesOccasionCasualLengthRegularHemlineStraightPlacketButton PlacketSee More,4.4|1.6k Ratings,In Stock,XS | S | M | L | XL | XXL,N/A,Cotton,Women Shirts,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-women-cuban-collar-vertical-striped-cotton-boxy-casual-shirt/31012271/buy
28348132,Spread Collar Long Sleeves Striped Cotton Oversized Casual Shirt,Pepe Jeans,1169,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/NOVEMBER/30/u0RyjHVZ_d8a7a8b51e1a47dc95795589ce42ac01.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/AUGUST/30/IZkpRNyC_122482c6cad2417591e83deddc0464e9.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/NOVEMBER/4/9c71zB2U_1c0304b5a13547fea96db121c4c3a7cc.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/29055656/2024/4/18/06c205d4-9b22-4d95-886b-7a2e657783fe1713448205253VanHeusenWomanWomenStripedTrousers1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/4/9IpzBqgC_c227e23800fb480f8b37feb1712f5150.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Yellow horizontal stripes striped opaque Casual shirt ,has a spread collar,  button placket,  2 pocket, long regular sleeves,  curved hemSize & FitBrand Fit:  Fit: Oversized  The model (height 5'8) is wearing a size SMaterial & Care100% CottonMachine washSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitOversizedPrint or Pattern TypeHorizontal StripesOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More",4.6|10 Ratings,In Stock,S | M | L | XL,N/A,Cotton,Women Shirts,https://www.myntra.com/shirts/pepe+jeans/pepe-jeans-spread-collar-long-sleeves-striped-cotton-oversized-casual-shirt/28348132/buy
25901974,Classic Spread Collar Long Sleeves Cotton Casual Shirt,High Star,988,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/24393396/2023/8/8/19ee012f-d1bc-4a95-a46d-bdbcb84b01e91691438760543HighStarWomenGreenClassicOpaqueCasualShirt1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/24393406/2023/8/8/123f2cb6-69c8-4a21-95e6-7391d678eed11691438766846HighStarWomenWhiteClassicOpaqueCasualShirt1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25901970/2023/11/16/f0ab3d73-6520-48f8-bdc4-f72bb5d5f6aa1700126220550HighStarWomenPinkClassicOpaqueCasualShirt1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25901972/2023/11/16/8b4d1397-411a-44f2-b475-ea1233ade4581700126196482HighStarWomenBlackClassicOpaqueCasualShirt1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25901976/2023/11/16/42b60ff1-476f-45f4-9bc0-57f165b4f6d81700126192762HighStarWomenRedClassicOpaqueCasualShirt1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25901978/2023/11/16/4483295d-a8ce-4149-9ddc-becf32be7f121700126206366HighStarWomenPurpleClassicOpaqueCasualShirt1.jpg|https://assets.myntassets.com/assets/images/25901974/2023/11/16/79e989a7-3ebb-4fe2-934d-e39d1b8b2df61700128034318HighStarWomenBrownClassicOpaqueCasualShirt5.jpg?im=Crop,rect=(789,1210,248,202)|https://assets.myntassets.com/assets/images/25901974/2023/11/16/79e989a7-3ebb-4fe2-934d-e39d1b8b2df61700128034318HighStarWomenBrownClassicOpaqueCasualShirt5.jpg?im=Crop,rect=(411,144,32,87)","Product Details Brown solid opaque casual shirt ,has a spread collar, button placket, 1 pocket, long regular sleeves, curved hemHigh Star - Product by BRND.MESize & FitBrand Fit: ClassicFit: RegularThe model (height 5'8) is wearing a size SMaterial & Care100% CottonMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRegular FitBrand Fit NameClassicPrint or Pattern TypeSolidOccasionCasualLengthRegularHemlineCurvedSee More",4.4|1.6k Ratings,In Stock,S | M | L | XL | XXL,Regular Fit,Cotton,Women Shirts,https://www.myntra.com/shirts/high+star/high-star-classic-spread-collar-long-sleeves-cotton-casual-shirt/25901974/buy
32715745,Floral Print Regular Fit Casual Shirt,MANGO,3190,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/1/PdJy23tG_23708c77a75c456885078fe7dd04815c.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31291248/2024/12/12/5a850e41-b501-4476-abeb-bd7c4b3f29861734004415909-NEXT-Women-Trousers-8081734004415723-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32877224/2025/3/21/b88aec19-1875-4761-9326-72462016dcf91742535612528-MANGO-Women-Dresses-3911742535612078-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/16/rnjijWbm_2e009553676e4721aa06838f78f77587.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/22/yO2pQsQ3_163451bdbd264ae29c1836018f34fdd5.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Off white and red floral printed opaque casual shirt, has a spread collar, button placket, long regular sleeves, curved hemSize & FitFit: Regular FitThe model (height 5'8) is wearing a size SMaterial & Care85% Viscose Rayon, 15% PolyamideMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRegular FitPrint or Pattern TypeFloralOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More",4.3|36 Ratings,In Stock,XS | S | M | L | XL,Regular Fit,Rayon,Women Shirts,https://www.myntra.com/shirts/mango/mango-floral-print-regular-fit-casual-shirt/32715745/buy
31620666,Women Opaque Striped Casual Shirt,The Souled Store,1699,"https://assets.myntassets.com/assets/images/2024/NOVEMBER/13/IVbcvK4Y_470c816837204d31bc89535f3879f4fb.jpg?im=Crop,rect=(465,1340,108,86)|https://assets.myntassets.com/assets/images/2024/NOVEMBER/13/IVbcvK4Y_470c816837204d31bc89535f3879f4fb.jpg?im=Crop,rect=(314,634,324,706)|https://assets.myntassets.com/assets/images/2024/NOVEMBER/13/IVbcvK4Y_470c816837204d31bc89535f3879f4fb.jpg?im=Crop,rect=(303,202,389,475)|https://assets.myntassets.com/assets/images/2024/NOVEMBER/13/IVbcvK4Y_470c816837204d31bc89535f3879f4fb.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32323221/2025/3/18/c3222d8a-fae9-41db-a76d-44226273bd6a1742279127269-glitchez-Women-Fade-Frame-Straight-Fit-Light-Fade-Jeans-7021-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/NOVEMBER/14/BVQZ3KEJ_8011306e6cbb49dd83912043addb3203.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/29846993/2024/6/5/0ef83ad1-4121-40df-86bb-60a8f03549281717573058559-Sonata-Women-Brass-Embellished-Dial--Stainless-Steel-Straps--1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/18/Yd5TTPZm_f43c2b2bca0f48aea6a1767069d51835.jpg","Product Details Beige vertical stripes striped opaque Casual shirt ,has a spread collar,  button placket,  na pocket, long regular sleeves,  curved hemSize & FitBrand Fit:  Fit: Relaxed Fit  The model (height 5'8) is wearing a size SMaterial & Care100% PolyesterSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRelaxed FitPrint or Pattern TypeVertical StripesOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More",3.8|24 Ratings,In Stock,S | M | L | XL,Relaxed Fit,Polyester,Women Shirts,https://www.myntra.com/shirts/the+souled+store/the-souled-store-women-opaque-striped-casual-shirt/31620666/buy
29541216,Fuchsia Classic Mandarin Collar Casual Shirt,DressBerry,593,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/26/z1Ta6P8m_2942206b7f5447709ef1b814efee4463.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/26/z5OIemBI_7a7567f33ed74ab6831c2dc8d2cf1789.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/28497654/2024/3/24/c0ed1c02-4fa5-40db-b546-5a061892d58a1711279331708KaliniEmbelishedShimmerDressMaterial1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/4/WGZcsrI5_9c7b38dd13364d99a1090fa86b263287.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/17379298/2022/3/3/19d8cb3c-8f46-4705-92a1-db60229f94401646313443947IndiINSIDEGreenGeometricDropEarrings1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18679748/2022/6/9/8f6354de-e268-4bf5-bbfd-a06a9e9b435d1654758682859Trousers1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/17/TEeQlLw5_2b2c87ee879c4b3fa5c8b23c3180e4e1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Fuchsia solid opaque Casual shirt ,has a mandarin collar,  button placket,  1 pocket, long regular sleeves,  curved hemSize & FitBrand Fit: Classic  Fit: Regular Fit  The model (height 5'8) is wearing a size SMaterial & CareViscose RayonMachine WashSpecificationsSleeve LengthLong SleevesCollarMandarin CollarFitRegular FitBrand Fit NameClassicPrint or Pattern TypeSolidOccasionCasualLengthRegularHemlineCurvedSee More",4|4k Ratings,In Stock,XS | S | M | L | XL | XXL,Regular Fit,Rayon,Women Shirts,https://www.myntra.com/shirts/dressberry/dressberry-fuchsia-classic-mandarin-collar-casual-shirt/29541216/buy
32655423,Women onlMERRY Boxy Fit Spread Collar Floral Printed Cotton Casual Shirt,ONLY,2804,"https://assets.myntassets.com/assets/images/2025/FEBRUARY/5/mpln23p3_e026189add91440c837a3f892c2ca74d.jpg?im=Crop,rect=(605,1282,130,115)|https://assets.myntassets.com/assets/images/2025/FEBRUARY/5/mpln23p3_e026189add91440c837a3f892c2ca74d.jpg?im=Crop,rect=(389,634,303,648)|https://assets.myntassets.com/assets/images/2025/FEBRUARY/5/mpln23p3_e026189add91440c837a3f892c2ca74d.jpg?im=Crop,rect=(335,260,400,388)|https://assets.myntassets.com/assets/images/2025/FEBRUARY/5/mpln23p3_e026189add91440c837a3f892c2ca74d.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/SEPTEMBER/3/DdWvYb2a_02fee3a88607418a98684f8355c6b358.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32296843/2025/1/10/0c67cece-d16a-4d21-82b2-26f35b117ccf1736507430672UnitedColorsofBenettonWomenWideLegHigh-RiseLowDistressJeans1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/11/HRXB5PwY_43ec3dfca69442be9fad28e4e9cdab5e.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/SEPTEMBER/6/gzM8OZMc_616169d968bb4660aefbbc05dc5b4363.jpg",Product Details Blue & White opaque casual shirt for womenSpread collarButton placketShort sleevesCurved hemlineSize & FitBoxyThe model (height 5.8') is wearing a size SMaterial & CareCottonMachine WashSpecificationsSleeve LengthShort SleevesCollarSpread CollarFitBoxyPrint or Pattern TypeFloralOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More,N/A,In Stock,XS | S | M | L | XL,N/A,Cotton,Women Shirts,https://www.myntra.com/shirts/only/only-women-onlmerry-boxy-fit-spread-collar-floral-printed-cotton-casual-shirt/32655423/buy
31244394,Women Comfort Mandarin Collar Textured Solid Casual Shirt,BEING NAUGHTY,597,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/24/MxtLZgt8_a76d12f2e58d4bb891347882e2030fb4.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32639054/2025/2/7/0bbec55b-141f-4da1-9152-754b8fdcca271738931649332-VOJ-Gold-Plated-Stone-Studded-Pendants-With-Chains-218173893-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/6/yNUvWESa_73ecf0728aca457cb8334286e8119c15.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32322252/2025/1/13/df46207d-0f3e-4532-85af-ac56c0413a421736784307966FLOREOSWomenComfortSkinnyFitEasyWashTrousers1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/7/MV6DyVrF_f87167081bc5489d84e77f16ac64a157.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png",Product Details Red opaque casual shirtMandarin collarButton placketThree-quarter sleevesCurved hemlineSize & FitRegular FitThe model (height 5.8') is wearing a size SMaterial & CarePolyesterMachine WashSpecificationsSleeve LengthThree-Quarter SleevesCollarMandarin CollarFitRegular FitBrand Fit NameComfortPrint or Pattern TypeTexturedOccasionCasualLengthRegularHemlineCurvedSee More,4|303 Ratings,In Stock,XS | S | M | L | XL | XXL,Regular Fit,Polyester,Women Shirts,https://www.myntra.com/shirts/being+naughty/being-naughty-women-comfort-mandarin-collar-textured-solid-casual-shirt/31244394/buy
25087974,Oversized Vertical Striped Oxford Weave Pure Cotton Casual Shirt,DL Woman,1049,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25087968/2023/9/20/b51df4e9-ccbe-40f1-ab37-382636db7c561695234595715DLWomanWomenBlueOpaqueStripedCasualShirt1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25087972/2025/4/9/3de77e15-caa6-49d4-bb76-dcf1ff8b12421744210288102-DL-Woman-Oversized-Vertical-Stripes-Pure-Cotton-Oxford-Casua-1.jpg|https://assets.myntassets.com/assets/images/25087974/2025/4/9/1ebf7292-d64d-4433-bc0d-ec329b28e6c11744210294646-DL-Woman-Oversized-Vertical-Striped-Oxford-Weave-Pure-Cotton-6.jpg?im=Crop,rect=(411,159,65,72)|https://assets.myntassets.com/assets/images/25087974/2025/4/9/1ebf7292-d64d-4433-bc0d-ec329b28e6c11744210294646-DL-Woman-Oversized-Vertical-Striped-Oxford-Weave-Pure-Cotton-6.jpg?im=Crop,rect=(292,663,302,633)|https://assets.myntassets.com/assets/images/25087974/2025/4/9/1ebf7292-d64d-4433-bc0d-ec329b28e6c11744210294646-DL-Woman-Oversized-Vertical-Striped-Oxford-Weave-Pure-Cotton-6.jpg?im=Crop,rect=(648,1282,195,115)|https://assets.myntassets.com/assets/images/25087974/2025/4/9/1ebf7292-d64d-4433-bc0d-ec329b28e6c11744210294646-DL-Woman-Oversized-Vertical-Striped-Oxford-Weave-Pure-Cotton-6.jpg?im=Crop,rect=(432,620,346,676)|https://assets.myntassets.com/assets/images/25087974/2025/4/9/1ebf7292-d64d-4433-bc0d-ec329b28e6c11744210294646-DL-Woman-Oversized-Vertical-Striped-Oxford-Weave-Pure-Cotton-6.jpg?im=Crop,rect=(324,188,378,446)|https://assets.myntassets.com/assets/images/25087974/2025/4/9/1ebf7292-d64d-4433-bc0d-ec329b28e6c11744210294646-DL-Woman-Oversized-Vertical-Striped-Oxford-Weave-Pure-Cotton-6.jpg","Product Details Pink, white vertical striped opaque casual shirt ,has a spread collar, button placket, long regular sleeves, curved hemSize & FitFit: OversizedThe model (height 5'8) is wearing a size SMaterial & Care100% CottonMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitOversizedPrint or Pattern TypeVertical StripesOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More",4.2|733 Ratings,In Stock,S | M | L | XL | XXL,N/A,Cotton,Women Shirts,https://www.myntra.com/shirts/dl+woman/dl-woman-oversized-vertical-striped-oxford-weave-pure-cotton-casual-shirt/25087974/buy
13383204,The Lifestyle Co Women Maroon EcoVero  Buffalo Checks Casual Shirt,Roadster,593,"https://assets.myntassets.com/assets/images/13383204/2021/8/12/5bf85510-7ad1-4c5d-b148-7073dac194351628762158511-Roadster-Women-Maroon-EcoVero--Buffalo-Checks-Casual-Shirt-1-6.jpg?im=Crop,rect=(378,1023,206,173)|https://assets.myntassets.com/assets/images/13383204/2021/8/12/5bf85510-7ad1-4c5d-b148-7073dac194351628762158511-Roadster-Women-Maroon-EcoVero--Buffalo-Checks-Casual-Shirt-1-6.jpg?im=Crop,rect=(173,1181,173,231)|https://assets.myntassets.com/assets/images/13383204/2021/8/12/5bf85510-7ad1-4c5d-b148-7073dac194351628762158511-Roadster-Women-Maroon-EcoVero--Buffalo-Checks-Casual-Shirt-1-6.jpg?im=Crop,rect=(314,576,550,548)|https://assets.myntassets.com/assets/images/13383204/2021/8/12/5bf85510-7ad1-4c5d-b148-7073dac194351628762158511-Roadster-Women-Maroon-EcoVero--Buffalo-Checks-Casual-Shirt-1-6.jpg?im=Crop,rect=(497,216,562,562)|https://assets.myntassets.com/assets/images/13383204/2021/8/12/5bf85510-7ad1-4c5d-b148-7073dac194351628762158511-Roadster-Women-Maroon-EcoVero--Buffalo-Checks-Casual-Shirt-1-6.jpg?im=Crop,rect=(735,101,183,58)|https://assets.myntassets.com/assets/images/13383204/2021/8/12/5bf85510-7ad1-4c5d-b148-7073dac194351628762158511-Roadster-Women-Maroon-EcoVero--Buffalo-Checks-Casual-Shirt-1-6.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/29384844/2024/5/7/d761f0df-a4fa-41a1-b3aa-dcbf6506b5331715049317269DOLCECRUDOWomenSkinnyFitStretchableJeans2.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21337374/2022/12/29/db0b6a02-13ff-4da1-9737-690a8c4219371672286046485ICONICSWomenPinkTexturedSneakers1.jpg","Product Details Maroon and grey buffalo check opaque Casual shirt, has a spread collar, button placket, long roll-up sleeves, straight hemMADE WITH GREENTURN LENZING ECOVERODerived from certified renewable wood sources using an eco-responsible production process by meeting high environmental standards, LENZINGTM ECOVEROTM fibers tailor to a lifestyle, contributing to a cleaner environment.Size & FitFit: Regular FitThe model (height 5'8) is wearing a size SMaterial & Care100% Lenzing EcoVero Viscose Machine washSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRegular FitPrint or Pattern TypeBuffalo ChecksOccasionCasualLengthRegularHemlineStraightPlacketButton PlacketSee More",4.3|2.8k Ratings,In Stock,S | M | XL,Regular Fit,Viscose,Women Shirts,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-women-maroon-ecovero--buffalo-checks-casual-shirt/13383204/buy
