product_id,name,brand,price,image_urls,description,rating,stock_status,available_sizes,fit_type,material,category,product_link
25042438,Men Tapered Fit Mid-Rise Clean Look Light Fade Stretchable Jeans,HIGHLANDER,461,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25042410/2024/1/23/da310bcd-92ee-423a-94d5-16c534c59de21706010714205HIGHLANDERMenStraightFitCleanLookLightFadeStretchableJeans1.jpg|https://assets.myntassets.com/assets/images/25042438/2023/9/18/9422a465-ff7e-4553-bea8-612d7680770d1695018922354HIGHLANDERMenBlackStraightFitLowDistressLightFadeStretchable5.jpg?im=Crop,rect=(270,1080,152,188)|https://assets.myntassets.com/assets/images/25042438/2023/9/18/9422a465-ff7e-4553-bea8-612d7680770d1695018922354HIGHLANDERMenBlackStraightFitLowDistressLightFadeStretchable5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/SEPTEMBER/2/K2UXIvzg_550dbb05af8d44ccaa503603bbfaaab6.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/19496120/2022/9/10/6f6b60e3-0a3c-43aa-9905-761186d53bbb1662805273041-Mens-Casual-Denim-Shirt-8611662805272467-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/31/rnyzYntb_2a7284afd3e944fcad1160a6828d3a82.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21714204/2023/1/27/1ffc8499-d01e-40b7-b4c2-98daf5c491051674807982004FerraioloMenWhiteColourblockedSneakers1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/22/SlCKa3m1_640aff89a1fc4f6a831e8cfde7f1971e.jpg","Product Details Dark shade, light fade black jeansStraight fit, Mid-RiseClean LookStretchable5 pocketLength: regularSize & Fit Fit: Straight Fit  Stretchable  The model (height 6') is wearing a size 32Material & Care80.7% Cotton 18.2% Polyester 1.1% SpandexMachine washSpecificationsDistressClean LookWaist RiseMid-RiseFadeLight FadeShadeDarkFitStraight FitLengthRegularWaistbandWith belt loopsStretchStretchableSee More",3.8|1.7k Ratings,In Stock,30 | 32 | 34 | 36 | 38,Straight Fit,Cotton,Men Jeans,https://www.myntra.com/jeans/highlander/highlander-men-tapered-fit-mid-rise-clean-look-light-fade-stretchable-jeans/25042438/buy
10038535,Men Blue 65504 Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Levis,2899,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30114883/2024/10/25/074ec6cf-ae3e-4023-87e2-da6519d38ae31729837103959-Levis-Men-Jeans-2461729837103166-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/23626262/2023/7/11/8316926c-dd5c-40cf-8414-bfc1e32b0a2e1689052480806-Levis-Men-Jeans-931689052480355-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26742970/2024/3/20/11ef2842-ecbd-4547-98c2-18703fa44a061710913832313-Levis-Men-512-indigo-Slim-Tapered-Fit-Jeans-1581710913831735-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26312682/2024/3/21/046706b7-6e6e-421a-87e5-eb382e1380351711016391110-Levis-Men-Jeans-8301711016390504-1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a zip fly closure, and waistband with belt loopsSize & Fit65504 Skinny FitStretchableThe model (height 6') is wearing a size 32Material & Care77% cotton, 21% polyester and 2% elastaneMachine-washSpecificationsDistressClean LookWaist RiseMid-RiseFadeLight FadeShadeDarkFitSkinny FitLengthRegularWaistbandWith belt loopsStretchStretchableSee More",4.1|118 Ratings,In Stock,28 | 30 | 32 | 34 | 36 | 38 | 40,Skinny Fit,Cotton,Men Jeans,https://www.myntra.com/jeans/levis/levis-men-blue-65504-skinny-fit-mid-rise-clean-look-stretchable-jeans/10038535/buy
25756736,Men 512 Slim Fit Light Fade Stretchable Jeans,Levis,1727,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756704/2023/12/12/d2c8dcfe-448a-477d-9d7b-4f8139c66f121702382435148-Levis-Men-Jeans-9641702382434623-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756760/2023/11/28/75edb2fc-7763-4232-bfb6-8cb1f080f7511701171540576-Levis-Men-512-Slim-Fit-Heavy-Fade-Stretchable-Jeans-96317011-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756784/2024/3/7/e0b044db-661d-42cb-998c-152cc53ce8ca1709810929797-Levis-Men-Slim-Fit-Low-Rise-Heavy-Fade-Stretchable-Jeans-606-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756852/2024/3/7/b1b45779-5560-437a-baa7-eda6495553f71709812322578-Levis-Men-Jeans-3971709812322172-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756868/2023/12/15/5b7f0b89-7ac9-4219-9d56-bef518ef641a1702642869710-Levis-Men-Jeans-7811702642869212-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756920/2024/1/5/32176d98-233c-407f-ac34-0412411eda971704452961302-Levis-Men-512-Slim-Fit-Heavy-Fade-Stretchable-Jeans-95617044-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756930/2024/7/4/c3fe46fd-7cc1-433d-85b2-efdf0c16a2591720076874187LevisMen512SlimFitLightFadeStretchableJeans1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/26742928/2024/5/8/b517dc52-be41-4f6b-8ace-79c1d823a2e41715145866845-Levis-Men-Jeans-6741715145866345-1.jpg","Product Details   Light shade,  light fade blue jeans   Slim fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  Size & FitFit: 512 Slim FitStretchableThe model (height 6') is wearing a size 32Material & Care79% Cotton 20% Polyester 1% ElastaneMachine WashSpecificationsDistressClean LookWaist RiseLow-RiseFadeLight FadeShadeLightFitSlim FitLengthRegularWaistbandWith belt loopsStretchStretchableSee More",4.4|491 Ratings,In Stock,28 | 30 | 32 | 34 | 36 | 38 | 40 | 42,Slim Fit,Cotton,Men Jeans,https://www.myntra.com/jeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756736/buy
25002304,Men Bootcut Stretchable Jeans,Roadster,874,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25002282/2023/10/25/4f02a45a-f953-4c86-8765-ccd0f84cd8051698213282459-Roadster-Men-Jeans-781698213281957-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25002288/2023/10/20/6f3e065e-0ad7-444f-8c12-2a8f021a26911697801977822-Roadster-Men-Jeans-7031697801977394-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25002290/2023/10/20/4977ea49-e0e8-4975-a5a7-038990f8b5531697793383265-Roadster-Men-Jeans-5161697793382855-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25002294/2023/10/20/794d5157-cca8-4f98-84ee-55e4d7d1a2721697801974063-Roadster-Men-Jeans-2221697801973538-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25002306/2023/10/20/a2779b19-03ba-43af-bc1c-f2d173cd473e1697802001608-Roadster-Men-Jeans-3331697802001228-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25002320/2023/10/25/00b9ff41-1e69-4942-bdbc-863e5569cf3a1698213306837-Roadster-Men-Jeans-7361698213306360-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25002322/2023/10/20/8f082daf-bf07-4d7b-b92b-be2fcef342ff1697793379601-Roadster-Men-Jeans-1691697793379209-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25002330/2023/10/20/439af982-f46b-4767-bd33-7fb54b12ef351697801967314-Roadster-Men-Jeans-6381697801966772-1.jpg","Product Details   Dark shade,  no fade navy blue jeans   Bootcut,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  Size & Fit Fit: Bootcut  Stretchable  The model (height 6') is wearing a size 32Material & CareCotton Poly LycraMachine WashSpecificationsDistressClean LookWaist RiseMid-RiseFadeNo FadeShadeDarkFitBootcutLengthRegularWaistbandWith belt loopsStretchStretchableSee More",3.9|903 Ratings,In Stock,28 | 30 | 32 | 34 | 36,N/A,Cotton,Men Jeans,https://www.myntra.com/jeans/roadster/roadster-men-bootcut-stretchable-jeans/25002304/buy
25756766,Men 511 Slim Fit Heavy Fade Stretchable Jeans,Levis,1469,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/19970208/2022/9/16/82c35e5b-c897-4ebf-8428-d91f99dda8681663342861463BelwabaMenTanBelts1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/20193282/2022/9/28/2e1f5fae-fb32-4440-b2ba-0a807b38c53f1664354489896MARKQUESMenSetOf2WatchandBeltAccessoryGiftSet1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21786440/2023/1/31/b8254cb4-7ec7-4bb9-9873-58509bb2c30c1675178670029CantabilMenBrownBelt1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21787938/2023/1/31/6c5be68a-b49f-46e0-8bf0-bbb8f108b3aa1675178919740CantabilMenTanBelt1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details   Light shade,  heavy fade blue jeans   Slim fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  Size & FitFit: 511 Slim FitStretchableThe model (height 6') is wearing a size 32Material & Care81% Cotton 18% Polyester 1% ElastaneMachine WashSpecificationsDistressClean LookWaist RiseMid-RiseFadeHeavy FadeShadeLightFitSlim FitLengthRegularWaistbandWith belt loopsStretchStretchableSee More",4.4|406 Ratings,In Stock,28 | 30 | 32 | 34 | 36 | 38 | 40 | 42,Slim Fit,Cotton,Men Jeans,https://www.myntra.com/jeans/levis/levis-men-511-slim-fit-heavy-fade-stretchable-jeans/25756766/buy
25756698,Men 512 Slim Fit Light Fade Stretchable Jeans,Levis,1769,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756692/2023/12/15/a3869980-6f61-45bd-84ea-df52baf96f5f1702640908119-Levis-Men-Jeans-121702640907652-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756710/2024/3/7/e83c4cde-04c0-44da-b150-b6cf3f7c4be31709812502433-Levis-Men-Jeans-8901709812501907-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756722/2024/2/5/ce3ecdc5-3e4f-412e-b05a-e6beef9093581707127209656-Levis-Men-512-Slim-Fit-Light-Fade-Stretchable-Jeans-56317071-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756738/2023/12/12/ee34527a-4c10-48b2-8b70-e9bf50a4c98b1702378019034-Levis-Men-Jeans-4281702378018500-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756744/2024/3/7/6d825d51-0b7a-419e-978d-0306c0f9f7a11709805597101-Levis-Men-Jeans-3001709805596630-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756762/2024/3/7/a4b1697a-c24c-46ae-b5a2-de181958f0ba1709811159215-Levis-Men-Slim-Fit-Low-Rise-Heavy-Fade-Stretchable-Jeans-702-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756772/2023/12/12/5184b638-46bd-4d9b-a982-299035bd333f1702382454543-Levis-Men-Jeans-4081702382454114-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756836/2024/3/8/ddd2ea27-b312-41ec-834a-ee2552d7bf221709891587863-Levis-Men-512-Slim-Tapered-Fit-Light-Fade-Stretchable-Jeans--1.jpg","Product Details   Light shade,  light fade blue jeans   Slim fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  Size & FitSlim FitStretchableSize worn by the model: 32Waist: 32""Hips: 38""Height: 6'1""Material & Care81% Cotton 18% Polyester 1% ElastaneMachine WashSpecificationsDistressClean LookWaist RiseMid-RiseFadeLight FadeShadeLightFitSlim FitLengthRegularWaistbandWith belt loopsStretchStretchableSee More",4.4|492 Ratings,In Stock,28 | 30 | 34 | 36 | 38 | 40 | 42,Slim Fit,Cotton,Men Jeans,https://www.myntra.com/jeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756698/buy
32031073,Men Panelled Light Fade Stretchable Jeans,glitchez,650,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/31/VePMahcq_7bf501e541994fd68fbfeb8a952a0563.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/SEPTEMBER/27/nx44yAZv_6e7e3f4ced934b2bbcef2ccd86e41c22.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/27/At0Ckpzj_0635ef27ef0a442881a6d6ce9340c5c9.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30003027/2024/6/20/1f9f0ea7-5ff8-4041-b6b1-156ccff91ba51718862157053LOREMMenDialStainlessSteelBraceletStyleStrapsAnalogueWatchLR1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/24/ZhvJJHMa_0165569d64c44bc0b6867f73e700de37.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Get that effortless flex with these jeans, your new go-to for everyday drip. With a sleek light fade and modern fit, these jeans bring the perfect mix of chill vibes and high-key style. Color: CharcoalClosure: Button and zipPocket Type: 5 pocketsSize & FitFit: Skater FitStretchableThe model (height 6') is wearing a size 32Material & Care78% Cotton, 21% Polyester & 1% ElastaneMachine WashSpecificationsDistressClean LookWaist RiseMid-RiseFadeLight FadeShadeDarkBrand Fit NameSkaterFitRegular FitLengthRegularWaistbandWith belt loopsSee More",3.5|6 Ratings,In Stock,28 | 30 | 32 | 34 | 36,Regular Fit,Cotton,Men Jeans,https://www.myntra.com/jeans/glitchez/glitchez-men-panelled-light-fade-stretchable-jeans/32031073/buy
26312720,511 Men Slim Fit Low Rise Heavy Fade Clean Look Stretchable Jeans,Levis,1781,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25756808/2023/12/15/93847d6e-aa7f-4c8a-871a-7ce117dab7bf1702642876242-Levis-Men-Jeans-2601702642875795-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/28727124/2024/4/6/caeb1491-586c-480b-a182-6cb2bba6870d1712382353687PepeJeansMenOpaqueCasualShirt1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21786440/2023/1/31/b8254cb4-7ec7-4bb9-9873-58509bb2c30c1675178670029CantabilMenBrownBelt1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21787938/2023/1/31/6c5be68a-b49f-46e0-8bf0-bbb8f108b3aa1675178919740CantabilMenTanBelt1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Medium shade, heavy fade blue jeansSlim fit, low-riseClean lookStretchable5 pocketsLength: regularSize & FitSlim FitStretchableSize worn by the model: 32Waist: 32""Hips: 29""Height: 6'1""Material & Care80% Cotton, 19% Polyester, and 1% ElastaneMachine wash, coldSpecificationsDistressClean LookWaist RiseLow-RiseFadeHeavy FadeShadeMediumFitSlim FitLengthRegularWaistbandWith belt loopsStretchStretchableSee More",4.6|38 Ratings,In Stock,28 | 30 | 32 | 34 | 36 | 38 | 40 | 42,Slim Fit,Cotton,Men Jeans,https://www.myntra.com/jeans/levis/levis-511-men-slim-fit-low-rise-heavy-fade-clean-look-stretchable-jeans/26312720/buy
23934086,Men Mid-Rise Bootcut Jeans,Bene Kleed,804,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/23934078/2023/7/13/05ee76e6-2ed4-4473-97a2-8b5b062034141689244969565-Mens-Rigid-Bootcut-Denim-Trouser-9981689244969071-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/23934082/2023/7/13/54cfaf0b-4b11-4df9-91bd-c62873256a261689244983798-Mens-Rigid-Bootcut-Denim-Trouser-3311689244983302-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/23934084/2023/7/14/b23d5b2c-931e-41c3-acfb-89fad487b8d81689321344327-Mens-Rigid-Bootcut-Denim-Trouser-1931689321343827-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/24067986/2023/7/27/ea1484fd-4e85-4490-a61c-e216fae634e51690452160548-Mens-Rigid-Bootcut-Denim-Trouser-4911690452160003-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/24220116/2023/8/21/13f703b2-ee3a-4e2f-8116-5dc0a93d7c671692603240030-Mens-Rigid-Bootcut-Denim-Trouser-1351692603239597-1.jpg|https://assets.myntassets.com/assets/images/23934086/2023/7/14/5920e381-0a67-46b2-9985-a3ea138ae33a1689321278663-Mens-Rigid-Bootcut-Denim-Trouser-9431689321278177-4.jpg?im=Crop,rect=(324,1311,173,101)|https://assets.myntassets.com/assets/images/23934086/2023/7/14/5920e381-0a67-46b2-9985-a3ea138ae33a1689321278663-Mens-Rigid-Bootcut-Denim-Trouser-9431689321278177-4.jpg?im=Crop,rect=(400,735,313,576)|https://assets.myntassets.com/assets/images/23934086/2023/7/14/5920e381-0a67-46b2-9985-a3ea138ae33a1689321278663-Mens-Rigid-Bootcut-Denim-Trouser-9431689321278177-4.jpg?im=Crop,rect=(389,245,443,504)","Product Details   Light shade,  no fade beige jeans   Bootcut,  mid-rise   Clean look   Non stretchable   5 pocket   Length: regular  Size & Fit Fit: Bootcut  Non Stretchable  The model (height 6') is wearing a size 32Material & CareCottonMachine WashSpecificationsDistressClean LookWaist RiseMid-RiseFadeNo FadeShadeLightFitBootcutLengthRegularWaistbandWith belt loopsStretchNon StretchableSee More",3.9|581 Ratings,In Stock,28 | 30 | 32 | 34 | 36,N/A,Cotton,Men Jeans,https://www.myntra.com/jeans/bene+kleed/bene-kleed-men-mid-rise-bootcut-jeans/23934086/buy
27661968,Men Loose Fit Washed Non-Stretchable Jeans,Urbano Fashion,734,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27661960/2024/9/21/7f347839-0be7-4a46-8fdb-7833b312ce171726940106571-Urbano-Fashion-Men-Loose-Fit-Washed-Non-Stretchable-Jeans-34-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27661962/2024/9/6/e445c9de-2882-4152-bad5-d35c480023691725606967037-Urbano-Fashion-Men-Loose-Fit-Washed-Non-Stretchable-Jeans-50-6.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27661964/2024/3/11/f1a098f2-dd31-4e00-b8b2-a76ae4df04581710152597923-Urbano-Fashion-Men-Loose-Fit-Washed-Non-Stretchable-Jeans-95-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27661966/2025/3/15/c986fb55-2eeb-454f-80f3-7954a173b7a51742035809189-Urbano-Fashion-Men-Loose-Fit-Washed-Non-Stretchable-Jeans-63-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27661970/2025/3/25/3d4b3879-cbd0-438b-82c2-67b2b19483c21742900751907-Urbano-Fashion-Men-Loose-Fit-Washed-Non-Stretchable-Jeans-62-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27661972/2024/9/21/e0654379-10ab-4c4e-bdb7-7467788d8bcc1726940122659-Urbano-Fashion-Men-Loose-Fit-Washed-Non-Stretchable-Jeans-35-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27661974/2024/9/21/19494ed2-40cb-45d7-82c6-5841a14063751726940131446-Urbano-Fashion-Men-Loose-Fit-Washed-Non-Stretchable-Jeans-84-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27661976/2024/10/30/7f897469-e435-476d-90f3-bf79d4bef7631730283456308-Urbano-Fashion-Men-Loose-Fit-Washed-Non-Stretchable-Jeans-43-1.jpg","Product Details   Dark shade,  no fade black jeans   Relaxed fit,  mid-rise   Brand Fit: loose   Clean look   Non stretchable   5 pocket   Length: regular  Size & FitBrand Fit: LooseFit: Relaxed FitThe model (height 6') is wearing a size 32Material & Care98% Cotton, 2% elastaneMachine WashSpecificationsDistressClean LookWaist RiseMid-RiseFadeNo FadeShadeDarkBrand Fit NameLooseFitRelaxed FitLengthRegularWaistbandWith belt loopsSee More",4|2.9k Ratings,In Stock,28 | 30 | 32 | 34 | 36 | 38 | 40,Relaxed Fit,Cotton,Men Jeans,https://www.myntra.com/jeans/urbano+fashion/urbano-fashion-men-loose-fit-washed-non-stretchable-jeans/27661968/buy
