product_id,name,brand,price,image_urls,description,rating,stock_status,available_sizes,fit_type,material,category,product_link
16877404,Men Coffee Brown Solid Leather Formal Slip-Ons,Louis Philippe,2359,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/16877468/2022/1/31/715c215f-5b4c-48bd-a438-ae3e7b0c8f691643602805168-Louis-Philippe-Men-Black-Solid-Leather-Formal-Slip-Ons-34516-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/20945730/2022/12/8/8b9fcd61-392e-4910-816d-b21fe4df99ef1670491945485-LOUIS-STITCH-Leather-Natural-Men-Cream-Colored-Shoe-Shiner---1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18072028/2024/10/21/e62525bc-37af-45cd-8a25-b7eaa278a8311729491019539-LOUIS-STITCH-2-Piece-Tan-Brown-Shoe-Care-Combo-8101729491019-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26447356/2024/7/9/156a43ec-56c9-4ee4-9ef6-d6bfe357d90b1720515105550LOUISSTITCHSetOf2DarkTanShoeCreamWithApplicator1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/20479390/2024/8/28/0b77bd7a-6622-4ab9-b622-609a03fd53fc1724836235673-LOUIS-STITCH-Men-Black-Textured-Leather-Formal-Belt-57517248-1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of coffee brown square-toe slip-ons, has regular styling, slip-on detailLeather upperCushioned footbedTextured and patterned rubber outsole, has a stacked heelWarranty: 6 monthsWarranty provided by the brand owner /manufacturerComes with a shoe hornMaterial & CareLeatherUse a branded leather conditioner to clean the productAvoid washingSpecificationsTypeSlip-On ShoesFasteningSlip-OnToe ShapeRound ToePatternSolidAnkle HeightRegularSole MaterialRubberWarranty6 months",4.4|964 Ratings,In Stock,6 | 7 | 8 | 9 | 10 | 11,N/A,Leather,Men Shoes,https://www.myntra.com/formal-shoes/louis+philippe/louis-philippe-men-coffee-brown-solid-leather-formal-slip-ons/16877404/buy
29375098,Men Textured Slip On Formal Loafers,House of Pataudi,1552,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27542868/2024/2/12/f39751b0-b50f-47d6-81d7-3cf563d400151707731794894MenBlackFormalSlipOnTexturedLoafersShoes1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27542886/2024/2/12/afd0fdb4-197e-4ef0-94a2-d3c7382bf3651707729550630MenFormalSlipOnsTexturedTanLoafersShoes1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/23185554/2023/5/15/f71ad433-29ac-47ad-9cbd-b455bae8fbed1684145200782PocketSquares1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/16917320/2022/1/24/045a11a0-12e5-4a08-a7ef-789459d079891643021135185AlvaroCastagninoMenGreySolid1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/AUGUST/26/vkJFBQ4b_668aee946b3b4acd91b79d0595aa8eda.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/22647884/2023/4/5/5743f937-b04e-4fa4-badf-5324b33af7211680688770988InvictusTanFormalSlip-onForMen1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/20479390/2024/8/28/0b77bd7a-6622-4ab9-b622-609a03fd53fc1724836235673-LOUIS-STITCH-Men-Black-Textured-Leather-Formal-Belt-57517248-1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of brown textured round-toe formal loafers with regular styling has a slip-on closurePU upperCushioned footbedTextured and patterned TPR outsoleMaterial & CarePUWipe with a clean, dry cloth to remove dustSpecificationsTypeLoafersFasteningSlip-OnToe ShapeRound ToePatternSolidAnkle HeightRegularSole MaterialTPR",4.3|62 Ratings,In Stock,6 | 7 | 8 | 9 | 10 | 11,N/A,Tpr,Men Shoes,https://www.myntra.com/formal-shoes/house+of+pataudi/house-of-pataudi-men-textured-slip-on-formal-loafers/29375098/buy
26261842,Men Formal Textured Leather Loafers,Louis Philippe,2949,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25795672/2024/2/20/95807033-56fd-4343-b8b2-896097c349381708417039657-Louis-Philippe-Men-Formal-Shoes-7891708417039373-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/23374000/2023/5/24/a2d18a84-1617-482a-b021-18ec504b1d9a1684921755861teakwoodleathermentexturedblackbelt1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/23185518/2023/5/15/566d5c27-ec2b-4cf7-9d7d-f9735692665f1684148654044PocketSquares1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/20479390/2024/8/28/0b77bd7a-6622-4ab9-b622-609a03fd53fc1724836235673-LOUIS-STITCH-Men-Black-Textured-Leather-Formal-Belt-57517248-1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Brown solid formal textured loafers, has regular styling with slip-on closureLeather upperCushioned footbedTextured and patterned rubber outsoleWarranty: 6 MonthsWarranty provided by brand/manufacturerComes with a shoe hornMaterial & Care100% Leather Use a branded leather conditioner to clean the productAvoid washingSpecificationsTypeLoafersFasteningSlip-OnToe ShapeRound ToePatternTexturedAnkle HeightRegularSole MaterialLeatherWarranty6 months",4.4|117 Ratings,In Stock,6 | 7 | 8 | 9 | 10 | 11,N/A,Leather,Men Shoes,https://www.myntra.com/formal-shoes/louis+philippe/louis-philippe-men-formal-textured-leather-loafers/26261842/buy
27729100,Men Leather Textured Formal Oxfords,Louis Philippe,3499,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26447342/2024/10/21/3fb9b306-c4dd-4c0e-b035-d2ee10a154f01729491465633-LOUIS-STITCH-Pack-Of-3-Leather-Shoe-Cream-with-Applicator-55-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/AUGUST/26/y6pazKKc_fcfa2d0b518a48dd8b3b1c258344fd6c.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/24526730/2023/8/17/2021b1d9-4cc1-4f04-9e5c-20c3768fce231692273113256PrintedCottonSocksInPurpleQapis1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18072028/2024/10/21/e62525bc-37af-45cd-8a25-b7eaa278a8311729491019539-LOUIS-STITCH-2-Piece-Tan-Brown-Shoe-Care-Combo-8101729491019-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21248860/2022/12/20/c5be64c1-1761-46b2-84c5-d45743c29d881671476926686LeatherWorldGenuineLeatherMenFormalBelt1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Brown textured formal oxfords, has regular stylingLace-up closureLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand owner/manufacturerMaterial & Care100% Leather Use a branded leather conditioner to clean the productAvoid washingSpecificationsTypeOxfordsFasteningLace-UpsToe ShapeSquare ToePatternSolidAnkle HeightRegularSole MaterialLeatherWarranty6 months",4.3|126 Ratings,In Stock,6 | 7 | 8 | 9 | 10 | 11,N/A,Leather,Men Shoes,https://www.myntra.com/formal-shoes/louis+philippe/louis-philippe-men-leather-textured-formal-oxfords/27729100/buy
30117479,Men Textured Leather Formal Derbys,Mochi,1345,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30117480/2024/7/4/797cc4a9-ef23-44dc-8801-16ed1d978ed21720090782832MochiMenLeatherFormalDerbys1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26447342/2024/10/21/3fb9b306-c4dd-4c0e-b035-d2ee10a154f01729491465633-LOUIS-STITCH-Pack-Of-3-Leather-Shoe-Cream-with-Applicator-55-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18910950/2022/6/30/1b19ce76-faf4-4a2a-a9c1-ea514bdeb4fe1656577622207URBANALFAMIMenBrownBelts1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30533806/2025/2/21/e1f3d21b-d1de-461e-91aa-0ee48aef64981740133602234-Van-Heusen-Men-Textured-Leather-Formal-Belt-9171740133602124-5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18592964/2022/6/3/6371d516-261b-4fa1-9025-538ea51279ce1654234987414TeakwoodLeathersMenBlackBelts1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/25703904/2023/10/31/3be546cb-1fb0-4cb0-85cf-72f4fce6d37f1698775211684MenBrownSolidBelt1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png",Product Details A pair of tan-brown textured round-toe formal derbys with regular styling has a lace-up closureLeather upperCushioned footbedTextured and patterned PU outsoleWarranty: 1 MonthWarranty provided by brand/manufacturerMaterial & CareUpper Material : LeatherSole Material : PUUse a branded leather conditioner to clean the productAvoid washingSpecificationsTypeDerbysFasteningLace-UpsToe ShapeRound ToePatternTexturedAnkle HeightRegularSole MaterialPUWarranty1 month,4.3|180 Ratings,In Stock,6 | 7 | 8 | 9 | 10 | 11,N/A,Leather,Men Shoes,https://www.myntra.com/formal-shoes/mochi/mochi-men-textured-leather-formal-derbys/30117479/buy
32093863,Unisex HRX-235 02 Mesh Running Non-Marking Shoes,HRX by Hrithik Roshan,1117,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32093860/2024/12/26/78ead5ea-2ba9-4756-93fd-ead8c9dd9cbf1735210371454SportsShoes1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32093861/2024/12/26/6f3cc854-679c-4f53-83dd-68c0e5a254521735211019360SportsShoes1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32093864/2024/12/26/95c836f1-617d-45fa-8df3-f72b901f80f71735211010361SportsShoes1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/FEBRUARY/12/u2C81X7u_77aabae44c7a42d3a520b0b53897ccd2.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/29/pfUJkdyp_4c210b33cdea4a12aff56ae4aed5b8ec.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/24312302/2023/8/2/338db3da-c796-411a-a666-2cc5313936681690987763788UnisexSocks1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/28294324/2024/3/15/3afaa7a5-04d0-4e32-bd82-c2a810317e3f1710496918611HooksandHolders1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/AUGUST/23/FbF8uItF_4bdf18bb1f0b4436aa40ff9fc53e99f7.jpg","Product Details A pair of black shoes, has regular Styling, lace-ups detailMesh UpperCushioned footbedTextured and patterned outsoleWarranty: 30 daysWarranty: Warranty provided by brand/manufacturerMaterial & CareMeshClean it with dry cloth after useSpecificationsSportRunningMaterialMeshFasteningLace-UpsAnkle HeightRegularOutsole TypeNon-MarkingCleatsNo CleatsCushioningMediumRunning TypeTrackSee More",4|63 Ratings,In Stock,3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11,N/A,Mesh,Men Shoes,https://www.myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-unisex-hrx-235-02-mesh-running-non-marking-shoes/32093863/buy
27756042,Men Textured Formal Oxfords,Red Tape,1367,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/22463226/2023/5/4/be98c74f-f79d-476d-969b-ccd4346392d01683186514482-FOOTPRINTS-Men-Pack-Of-3-Calf-Length-Socks-8211683186514107-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/15791806/2024/8/28/9630d987-4c13-42ee-9c00-43ac6c132fc91724825265539-LOUIS-STITCH-Men-Black-Textured-Leather-Formal-Belt-15617248-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/OCTOBER/19/gcMdZdrL_23766e251eb4485a9ede52c707386c55.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18072028/2024/10/21/e62525bc-37af-45cd-8a25-b7eaa278a8311729491019539-LOUIS-STITCH-2-Piece-Tan-Brown-Shoe-Care-Combo-8101729491019-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/15791800/2024/8/28/58e3b2dd-e2b1-4584-9292-77e30bc1922f1724825260368-LOUIS-STITCH-Men-Black-Textured-Leather-Formal-Belt-17917248-1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png",Product Details A pair of black textured round-toe formal oxfords with regular styling has a buckle closureLeather upperCushioned footbedTextured and patterned TPR outsoleWarranty: 45 DaysWarranty provided by brand/manufacturerMaterial & CareLeatherUse a branded leather conditioner to clean the product.SpecificationsTypeOxfordsFasteningLace-UpsToe ShapeRound ToePatternSolidAnkle HeightRegularSole MaterialTPRWarranty45 days,4|86 Ratings,In Stock,7 | 8 | 9 | 10,N/A,Leather,Men Shoes,https://www.myntra.com/formal-shoes/red+tape/red-tape-men-textured-formal-oxfords/27756042/buy
30191562,Men Brand Logo Printed Running Shoes,WROGN,1499,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/10/GzLXJUsZ_c02c96d8264d4234b905bb6235be295a.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of grey running shoes, has regular Styling, lace-ups closureSynthetic UpperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand owner/manufacturerMaterial & CareUpper material: Synthetic  Wipe with a clean, dry cloth to remove the dustSpecificationsSportRunningMaterialSyntheticFasteningLace-UpsAnkle HeightRegularOutsole TypeMarkingCleatsNo CleatsPronation for Running ShoesNeutralArch TypeMediumSee More",N/A,In Stock,6 | 7 | 8 | 9 | 10 | 11,N/A,Synthetic,Men Shoes,https://www.myntra.com/sports-shoes/wrogn/wrogn-men-brand-logo-printed-running-shoes/30191562/buy
25921930,Men Textured Go Run Consistent Running & Training Shoes,Skechers,3024,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25921932/2023/12/26/70f4280e-8a44-4713-ad9b-5da4e5fefebe1703577803463-Skechers-Men-Sports-Shoes-2441703577803175-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25921934/2023/12/26/a5c4fad8-49ae-4e91-87d7-611df5b80db11703577811861-Skechers-Men-Sports-Shoes-9611703577811629-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30011521/2024/7/12/012fe37c-b2ab-4be4-80f1-ccc90f8669f81720765834360-SKECHERS-MEN-SHOE-1831720765833842-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30011537/2024/7/12/6fa09c8f-d69f-4591-81ba-3b61ef278b831720765852933-SKECHERS-MEN-SHOE-1861720765852485-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/17/CTziY2jz_11cccffad970422fa438811532f85e27.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/11/Bwepl0du_dc2cd4db0215428d93e1436dfbc7ac45.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/8/J8MFy9I5_a119c20e4abf455c88532afdc94bfbb5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/DECEMBER/20/1ndwDQDQ_deda92115540485f8e65b786c0ad8e24.jpg","Product Details Special Technologies:Lightweight, responsive ULTRA LIGHT midsole cushioningSkechers Air-Cooled Goga Max breathable insole with high-rebound cushioningSkechers M-Strike(r) technology promotes efficiency in each stride. This midsole configuration creates smooth transitions from landing to toe-off.Product Design Details:A pair of black running and training shoes, has regular styling, lace-ups detailMesh upperCushioned footbedTextured and patterned rubber outsoleParametric midsole construction for support and stabilitySkechers GO RUN (r) logo detailWarranty: 3 monthsWarranty to be provided by the brand owner/manufacturerAbout The Product:It's easy to get into a workout routine with the Skechers GO RUN Consistent running and training shoe. This lace-up style features mesh upper, responsive ULTRA LIGHT cushioning, and an Air-Cooled Goga Max cushioned insole.Material & CareUpper Material: MeshOutsole Material: RubberWipe with a clean, dry cloth to remove the dustSpecificationsSportRunningMaterialMeshFasteningLace-UpsAnkle HeightRegularOutsole TypeMarkingCleatsNo CleatsPronation for Running ShoesNeutralArch TypeMediumSee More",4.4|1.9k Ratings,In Stock,6 | 7 | 8 | 9 | 10 | 11,N/A,Mesh,Men Shoes,https://www.myntra.com/sports-shoes/skechers/skechers-men-textured-go-run-consistent-running--training-shoes/25921930/buy
8457577,Men Olive Green Leather Derbys,Red Chief,2240,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/6608797/2018/6/1/7b786d97-77fa-4f03-8a21-9be87e221f871527843900435-VIMAL-JONNEY-Men-Tshirts-5181527843900172-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/6/ThqnLsl3_551850f1650e4ae1a978417f6f46ea79.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/AUGUST/24/KlDTckv5_40037c0a15c54277ac100a4fc548ac67.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/19/fM8kg9R3_edf25223ad6f4f369e8e981863c0e427.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/16298942/2021/11/29/d34215eb-1a0d-4e1d-8f3a-26939688b68c1638202356772MenNavyBlackFullSleevewithGripHoodedPrintedT-shirt1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of round-toe olive green derbys, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 2 monthsWarranty provided by brand/manufacturerMaterial & CareLeatherUse a branded leather conditioner to clean the productAvoid washingSpecificationsTypeDerbysToe ShapeRound ToePatternSolidFasteningLace-UpsShoe WidthRegularAnkle HeightRegularInsoleComfort InsoleSole MaterialTPRSee More",4.1|121 Ratings,In Stock,6 | 7 | 8 | 9 | 10,N/A,Leather,Men Shoes,https://www.myntra.com/casual-shoes/red+chief/red-chief-men-olive-green-leather-derbys/8457577/buy
