product_id,name,brand,price,image_urls,description,rating,stock_status,available_sizes,fit_type,material,category,product_link
24377680,Men Cotton Flared Joggers,BOMBAY TROOPER,1781,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32013315/2025/1/30/96207357-b649-4ea8-b37a-4ac11fe6d7681738229525896-glitchez-Men-Co-Ords-4331738229525181-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/19076608/2022/7/13/491c216e-4ef4-4868-abb2-a295e12137d01657705484828GoatterBrownTexturedLeatherOversizedStructuredSatchel1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/APRIL/14/d0vFbq0S_9d93fa08ce5e4b17bb388e4eafb59242.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18427796/2022/5/26/4f5e8a70-4a34-478b-9d4e-9b92330fd1111653557833962FriskersMenPackOf2PrintedPureCottonGymInnerwearVest1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32284862/2025/1/10/8ce7e8d6-8784-4d43-a842-aa80e0998c631736488842821ShortSleeveKurtaPyjamaSet1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Hoppers by Bombay Trooper are all-in-one multi-purpose bottom wear designed for travel, workouts, yoga, festivals or daily wear.Made from specially treated light and breathable 100% cotton fabric. Flared fit Mid-riseLength: RegularFlat-front, with no pleats designFeature: plain2 side pocketsSize & FitThe model (height 5'8) is wearing a size One SizeMaterial & Care100% Cotton Machine WashSpecificationsWaist RiseMid-RiseLengthRegularFitFlaredPrint or Pattern TypeStripedClosureDrawstringType of PleatFlat-FrontWeave TypeWovenFly TypeNo FlySee More",4.6|5 Ratings,In Stock,Onesize,N/A,Cotton,Men Trousers 1,https://www.myntra.com/trousers/bombay+trooper/bombay-trooper-men-cotton-flared-joggers/24377680/buy
21811868,Men Slim Fit Mid-Rise Wrinkle Free Soft-Stretch-Comfort Formal Trousers,The Pant Project,1790,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/21811738/2025/3/19/f411cafb-2e72-4cae-ad4b-85f45f8ebf0b1742383411389-The-Pant-Project-Men-Slim-Fit-Mid-Rise-Wrinkle-Free-Soft-Str-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/21811840/2025/3/21/31c500fd-c0e8-41f8-95c2-3380668c746b1742536678122-The-Pant-Project-Men-Slim-Fit-Mid-Rise-Wrinkle-Free-Soft-Str-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/21811912/2025/3/21/016c2953-7175-449a-9285-5fd33a8988f81742536710050-The-Pant-Project-Men-Slim-Fit-Mid-Rise-Wrinkle-Free-Soft-Str-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/21811926/2025/3/21/34535d05-c5fb-4597-bf59-b14156e5c32b1742536721207-The-Pant-Project-Men-Slim-Fit-Mid-Rise-Wrinkle-Free-Soft-Str-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27313358/2025/3/21/7d1e1faf-5ad3-4591-be46-52c90b13351f1742536730018-The-Pant-Project-Men-Slim-Fit-Mid-Rise-Wrinkle-Free-Soft-Str-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/NOVEMBER/29/CaerZk2Y_1051ad8078a34cbdba1188a3ee0add15.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/NOVEMBER/29/S7QQtsnQ_c312306fa29448d2867ef65acb1dd85e.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/NOVEMBER/29/onzPvVX4_4bf3f86664304d759bff2b7b63612254.jpg","Product Details About The Product:Introducing The Pant Project Stretchable Pants for Men -- the perfect blend of comfort, style, and versatility. Say goodbye to wrinkles and discomfort with these expertly designed pants. Featuring advanced stretch technology, they move with you, ensuring you always look sharp and polished, no matter where the day takes you. Crafted from a unique blend of lightweight, moisture-wicking fabric, these pants keep you cool and dry even during the hottest days, making them the perfect choice for all-day wear. From boardrooms to casual outings, you'll stay stylish and comfortable with every step.Fabric Quality:Made with the finest export-quality materials, these smart-casual pants are a testament to superior craftsmanship. The fabric is a carefully balanced mix of 62% Polyester, 34% Viscose & 4% Elastane, offering not only supreme comfort but also durability and flexibility. Whether you're traveling, at work, or just on the go, these pants deliver unmatched ease of movement and long-lasting wear.Slim Fit:Designed for the modern man, the slim-fit cut hugs from waist to ankle, giving a streamlined silhouette without sacrificing comfort. It's the ideal choice for those who want to strike a balance between casual ease and polished, semi-formal attire.Style Tip:Elevate your look effortlessly by pairing these pants with a crisp button-down shirt for a more formal appeal, or go for a laid-back vibe by teaming them with a polo or t-shirt. The options are endless, making them a wardrobe essential.Occasion:Versatile and stylish, these pants can seamlessly transition from day to night. Wear them to an important office meeting with a sharp white shirt or dress them up with a tux for your best friend's wedding.Size & FitBrand Fit: ComfortFit: Slim FitThe model (height 6') is wearing a size 32Material & CareMaterial-62% Polyester, 34% Viscose & 4% ElastaneMachine washSpecificationsWaist RiseMid-RiseLengthRegularFitSlim FitBrand Fit NameComfortPrint or Pattern TypeSolidClosureButtonType of PleatFlat-FrontWeave TypeWovenSee More",4.4|995 Ratings,In Stock,28 | 30 | 32 | 34 | 36 | 38 | 40 | 42 | 44 | 46,Slim Fit,Polyester,Men Trousers 1,https://www.myntra.com/trousers/the+pant+project/the-pant-project-men-slim-fit-mid-rise-wrinkle-free-soft-stretch-comfort-formal-trousers/21811868/buy
32247223,Men Cloudburst Pure Cotton Jogger Style Trousers,glitchez,542,"https://assets.myntassets.com/assets/images/32247223/2025/1/30/084a2a69-38cc-4fee-b0f1-6c67beafe3eb1738236758805-glitchez-Men-Trousers-1791738236758345-6.jpg?im=Crop,rect=(551,1253,184,115)|https://assets.myntassets.com/assets/images/32247223/2025/1/30/084a2a69-38cc-4fee-b0f1-6c67beafe3eb1738236758805-glitchez-Men-Trousers-1791738236758345-6.jpg?im=Crop,rect=(335,202,411,518)|https://assets.myntassets.com/assets/images/32247223/2025/1/30/084a2a69-38cc-4fee-b0f1-6c67beafe3eb1738236758805-glitchez-Men-Trousers-1791738236758345-6.jpg?im=Crop,rect=(497,72,130,58)|https://assets.myntassets.com/assets/images/32247223/2025/1/30/084a2a69-38cc-4fee-b0f1-6c67beafe3eb1738236758805-glitchez-Men-Trousers-1791738236758345-6.jpg?im=Crop,rect=(378,648,314,648)|https://assets.myntassets.com/assets/images/32247223/2025/1/30/084a2a69-38cc-4fee-b0f1-6c67beafe3eb1738236758805-glitchez-Men-Trousers-1791738236758345-6.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/20/zxpM4Yfh_b98a7e7abe6e4a62bb1f3961b4d3e717.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31580933/2024/12/24/089cba7c-ebff-41db-8972-e11a6fc4d8421735020295853-glitchez-Men-Sweatshirts-4711735020295191-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/SEPTEMBER/24/QD7LWdA4_22a3f749d95542d59d0e6bd24fb876b8.jpg","Product Details Soft as a breeze, these joggers bring effortless ease to your every move, with a clean white canvas that feels fresh, never forced.Color: WhiteClosure: Button & zipPocket Type: Insert pocketsSize & FitThe model (height 6') is wearing a size MMaterial & Care100% CottonMachine washSpecificationsWaist RiseMid-RiseLengthRegularFitRelaxed FitPrint or Pattern TypeSolidClosureButtonType of PleatFlat-FrontWeave TypeWovenFly TypeZipSee More",4.7|9 Ratings,In Stock,28 | 30 | 32 | 34 | 36,Relaxed Fit,Cotton,Men Trousers 1,https://www.myntra.com/trousers/glitchez/glitchez-men-cloudburst-pure-cotton-jogger-style-trousers/32247223/buy
31058760,The Life Co. Men Pure Cotton Straight Fit Cargos,Roadster,791,"https://assets.myntassets.com/assets/images/31058760/2025/1/23/b9cfa3d7-1cf4-4856-9740-ff96889e6e131737639197177-Roadster-Men-Trousers-3451737639196535-5.jpg?im=Crop,rect=(314,1253,129,87)|https://assets.myntassets.com/assets/images/31058760/2025/1/23/b9cfa3d7-1cf4-4856-9740-ff96889e6e131737639197177-Roadster-Men-Trousers-3451737639196535-5.jpg?im=Crop,rect=(303,202,410,490)|https://assets.myntassets.com/assets/images/31058760/2025/1/23/b9cfa3d7-1cf4-4856-9740-ff96889e6e131737639197177-Roadster-Men-Trousers-3451737639196535-5.jpg?im=Crop,rect=(389,116,119,57)|https://assets.myntassets.com/assets/images/31058760/2025/1/23/b9cfa3d7-1cf4-4856-9740-ff96889e6e131737639197177-Roadster-Men-Trousers-3451737639196535-5.jpg?im=Crop,rect=(368,648,334,620)|https://assets.myntassets.com/assets/images/31058760/2025/1/23/b9cfa3d7-1cf4-4856-9740-ff96889e6e131737639197177-Roadster-Men-Trousers-3451737639196535-5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/27/MpDQgUPy_7546d94ace61482f85ebc404d5fc7a65.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32215291/2025/2/21/d4320fe3-f636-4e07-96ba-343392f165bd1740138001722-Men-Cotton-Linen-Cuban-Collar-Relax-Fit-Solid-Shirt-97617401-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/29902037/2024/7/30/08abc3f9-84dc-4abd-834f-4f8586a795cb1722340679601-Roadster-Men-Shirts-1761722340679178-1.jpg","Product Details   Beige woven cargos   Straight fit   Mid-rise   Length:  regular   Pattern: solid   Flat-front, with no pleats design   Feature:  plain   5 pockets  Size & Fit Fit: Straight Fit  The model (height 6') is wearing a size 32Material & Care100% CottonMachine washSpecificationsWaist RiseMid-RiseLengthRegularFitStraight FitPrint or Pattern TypeSolidClosureButtonType of PleatFlat-FrontWeave TypeWovenFly TypeZipSee More",4.3|11 Ratings,In Stock,28 | 30 | 32 | 34 | 36,Straight Fit,Cotton,Men Trousers 1,https://www.myntra.com/trousers/roadster/the-roadster-life-co-men-pure-cotton-straight-fit-cargos/31058760/buy
31538202,Men Hudson Tapered Fit Formal Trousers,Arrow,1563,"https://assets.myntassets.com/assets/images/31538202/2025/1/20/a38d0456-9204-4fbe-9c9f-ac25a19085871737354691510-Arrow-Men-Trousers-8671737354690971-4.jpg?im=Crop,rect=(681,1311,119,101)|https://assets.myntassets.com/assets/images/31538202/2025/1/20/a38d0456-9204-4fbe-9c9f-ac25a19085871737354691510-Arrow-Men-Trousers-8671737354690971-4.jpg?im=Crop,rect=(465,188,475,417)|https://assets.myntassets.com/assets/images/31538202/2025/1/20/a38d0456-9204-4fbe-9c9f-ac25a19085871737354691510-Arrow-Men-Trousers-8671737354690971-4.jpg?im=Crop,rect=(540,591,324,720)|https://assets.myntassets.com/assets/images/31538202/2025/1/20/a38d0456-9204-4fbe-9c9f-ac25a19085871737354691510-Arrow-Men-Trousers-8671737354690971-4.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/23398056/2023/5/25/3222a073-74b5-4d81-a575-a1a978b57c5c1684997657519PeterEnglandMenWhiteSlimFitGridTattersallChecksOpaqueFormalS1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/27384992/2024/2/5/5b45ce80-561b-4053-822f-40e85b4acb121707113635973PeregrinebyPantaloonsMenSlimFitFloralOpaqueCheckedFormalShir1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31538553/2025/3/3/d3e265d0-d29e-4cdb-84b6-9e951de772611740980934075-Arrow-Men-Shirts-3671740980933543-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30814219/2024/9/24/92b69265-c181-46dc-83af-af58f80272d81727179209816-Park-Avenue-Solid-Pure-Cotton-Formal-Shirt-3171727179209187-1.jpg","Product Details   Black woven formal   Tapered fit   Mid-rise   Length:  regular   Pattern: solid   Flat-front, with no pleats design   Feature:  plain   4 pockets  Size & Fit Fit: Tapered Fit  The model (height 6') is wearing a size 32Material & Care80% Polyester, 19% Viscose, 1% ElastaneMachine WashSpecificationsWaist RiseMid-RiseLengthRegularFitTapered FitPrint or Pattern TypeSolidClosureButtonType of PleatFlat-FrontWeave TypeWovenFly TypeZipSee More",N/A,In Stock,30 | 32 | 34 | 36 | 38,Tapered Fit,Polyester,Men Trousers 1,https://www.myntra.com/trousers/arrow/arrow-men-hudson-tapered-fit-formal-trousers/31538202/buy
29346498,Men Casual Baggy Trousers,Kook N Keech,729,"https://assets.myntassets.com/assets/images/29346498/2024/5/29/88652bdb-24fd-452d-a6f2-d789d870ce861716973805445-Kook-N-Keech-Men-Trousers-5261716973804917-4.jpg?im=Crop,rect=(422,101,129,43)|https://assets.myntassets.com/assets/images/29346498/2024/5/29/88652bdb-24fd-452d-a6f2-d789d870ce861716973805445-Kook-N-Keech-Men-Trousers-5261716973804917-4.jpg?im=Crop,rect=(357,605,270,648)|https://assets.myntassets.com/assets/images/29346498/2024/5/29/88652bdb-24fd-452d-a6f2-d789d870ce861716973805445-Kook-N-Keech-Men-Trousers-5261716973804917-4.jpg?im=Crop,rect=(346,231,292,403)|https://assets.myntassets.com/assets/images/29346498/2024/5/29/88652bdb-24fd-452d-a6f2-d789d870ce861716973805445-Kook-N-Keech-Men-Trousers-5261716973804917-4.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/25881712/2024/8/20/516ed1a8-3334-42cc-a66a-2f9ae44911ea1724132169901-Bewakoof-Men-Pure-Cotton-Lounge-Pant-1971724132169657-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/2/BAdZmVWm_6ca02d136c7742caa762aa926a24ed64.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31870417/2025/2/7/c5b8b9e1-0245-48a2-b014-385f52ffb4641738920471529-glitchez-Men-Shirts-2621738920470714-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/DECEMBER/7/qqZXyUY6_1c32b61e8ce847ed92f8220ed3102713.jpg",Product Details Olive green woven parallelRegular fitMid-riseLength: RegularPattern: SolidFlat-front with no pleats designFeature: plain2 pocketsElasticated waistSnap button and zip closureSize & FitFit: Baggy FitThe model (height 6') is wearing a size 32Material & Care100% PolyesterMachine washSpecificationsWaist RiseMid-RiseLengthRegularFitLoose FitPrint or Pattern TypeSolidClosureSnap ButtonType of PleatFlat-FrontWeave TypeWovenFly TypeZipSee More,3.5|154 Ratings,In Stock,30 | 32 | 34 | 36,Regular Fit,Polyester,Men Trousers 1,https://www.myntra.com/trousers/kook+n+keech/kook-n-keech-men-casual-baggy-trousers/29346498/buy
17461988,Men Grey Tapered Fit Cargos Trousers,Dennis Lingo,1049,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/17461972/2025/4/11/156a12eb-95be-4cad-aab3-9b69337d71111744366419976-Dennis-Lingo-Men-Olive-Green-Tapered-Fit-Cotton-Cargos-81917-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/17461980/2025/4/11/0cb4bde5-058c-4a03-acd3-c44577fea3371744366433191-Dennis-Lingo-Men-Black-Tapered-Fit-Cargos-Trousers-318174436-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/17461986/2025/4/11/ae0d1a19-0250-48a9-a514-3dc21019fcc81744366448683-Dennis-Lingo-Men-Khaki-Tapered-Fit-Cargos-9921744366448142-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/17462016/2025/4/11/186928b5-8ac4-426d-b12e-aebbd29bcb5a1744366586034-Dennis-Lingo-Men-Grey-Tapered-Fit-Cotton-Cargos-Trousers-451-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/17462028/2024/9/3/d5e6746d-5abd-406c-b4f6-1f37f91a8bf21725352056178-Dennis-Lingo-Men-Grey-Tapered-Fit-Cotton-Cargos-645172535205-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/20886454/2025/4/11/66d99833-9ec5-4a12-9bf7-f21cd6d5582e1744366644631-Dennis-Lingo-Men-Grey-Tapered-Fit-Cotton-Cargos-Trousers-779-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/21290024/2023/1/13/7baecdb8-f767-4570-83fd-bd37a8ee95361673594095776-Dennis-Lingo-Men-Tapered-Fit-Cargos-Cotton-Trousers-12167359-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/21290030/2023/1/13/533ab3f2-0916-4182-b54f-2f07625227d31673594139035-Dennis-Lingo-Men-Tapered-Fit-Cotton-Cargos-Trousers-59116735-1.jpg","Product Details   Grey woven cargos   Tapered fit   Mid-rise   Length: regular   Pattern: solid   Flat-front, with no pleats design   Feature: plain   6 pockets   Dennis Lingo - From The House of BRND.MESize & Fit Fit: Tapered Fit  The model (height 6') is wearing a size 32Material & CareCotton Machine WashSpecificationsWaist RiseMid-RiseLengthRegularFitTapered FitPrint or Pattern TypeSolidClosureButtonType of PleatFlat-FrontWeave TypeWovenFly TypeZipSee More",3.8|2.3k Ratings,In Stock,30 | 32 | 34 | 36 | 38,Tapered Fit,Cotton,Men Trousers 1,https://www.myntra.com/trousers/dennis+lingo/dennis-lingo-men-grey-tapered-fit-cargos-trousers/17461988/buy
30435313,The Life Co. Men Loose Fit Pure Cotton Chinos Trousers,Roadster,681,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30435257/2024/12/27/98e74c71-312b-492e-9419-c16408a5c1821735283404192-Roadster-Men-Trousers-2611735283403486-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30435268/2024/12/26/d7398d11-23bb-47b6-a264-c213b0c147d41735205570005-Roadster-Men-Trousers-6241735205569469-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30435269/2024/12/27/1d3dcd72-bcdb-4def-a0b0-de9f82edefbc1735278603005-Roadster-Men-Trousers-5061735278602411-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30435289/2025/1/20/b4fdabf2-c356-4412-a567-c5317fc9872f1737366340051-Roadster-Men-Trousers-91737366339389-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30435334/2024/12/26/700dc0f3-7ec2-4737-abba-f01b210ed3c51735208899699-Roadster-Men-Trousers-3681735208899124-1.jpg|https://assets.myntassets.com/assets/images/30435313/2024/12/17/0e36de56-c70e-4925-816e-29571c7fe9a61734433684068-Roadster-Men-Trousers-4981734433683551-4.jpg?im=Crop,rect=(346,1296,205,130)|https://assets.myntassets.com/assets/images/30435313/2024/12/17/0e36de56-c70e-4925-816e-29571c7fe9a61734433684068-Roadster-Men-Trousers-4981734433683551-4.jpg?im=Crop,rect=(454,216,119,101)|https://assets.myntassets.com/assets/images/30435313/2024/12/17/0e36de56-c70e-4925-816e-29571c7fe9a61734433684068-Roadster-Men-Trousers-4981734433683551-4.jpg?im=Crop,rect=(270,634,314,691)","Product Details Mauve woven chino trouserLoose fitMid-riseLength: regularPattern: solidFlat-front, with no pleats designFeature: plain6 pocketsSize & FitFit: Loose FitThe model (height 6') is wearing a size 32Material & Care100% CottonMachine WashSpecificationsWaist RiseMid-RiseLengthRegularFitLoose FitPrint or Pattern TypeSolidClosureButtonType of PleatFlat-FrontWeave TypeWovenFly TypeZipSee More",3.8|19 Ratings,In Stock,28 | 30 | 32 | 34 | 36,Loose Fit,Cotton,Men Trousers 1,https://www.myntra.com/trousers/roadster/the-roadster-life-co-men-loose-fit-pure-cotton-chinos-trousers/30435313/buy
29716804,Men Relaxed Straight Leg Mid-Rise Formal Trousers,TAHVO,999,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/25292388/2023/10/2/c0166812-c60c-489e-8c26-9d80b833543a1696267643076BYFORDbyPantaloonsMenWhiteSlimFitOpaquePartyShirt1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30257872/2025/3/10/5824d903-a7c0-4c17-9d2d-47cae8bb7e371741590683571-TATTVA-Men-Classic-Spread-Collar-Solid-Polyester-Slim-Fit-Ca-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/SEPTEMBER/28/j8OCGETP_e5acc708a9504f1ca42c70e89266c673.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/25212098/2023/9/28/4c078833-98c8-406d-a251-cbf9ff5348581695884404490t-baseMenOffWhitePullover1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26078110/2023/11/27/c7105c13-4e3e-4892-94db-09c5a6d6626f1701086766590GreylonggMenPurplePrintedT-shirt1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details White knitted formal trousersRegular fitBrand Fit: relaxed straight legMid-riseLength: regularPattern: solidFlat-front, with no pleats designFeature: plain3 pocketsSize & FitBrand Fit: Relaxed Straight Leg  Fit: Regular Fit  The model (height 6') is wearing a size 32Material & CareViscose RayonMachine WashSpecificationsWaist RiseMid-RiseLengthRegularFitRegular FitBrand Fit NameRelaxed Straight LegPrint or Pattern TypeSolidClosureButtonType of PleatFlat-FrontWeave TypeKnittedSee More",4.3|20 Ratings,In Stock,28 | 30 | 32 | 34 | 36 | 38 | 40 | 42 | 44 | 46,Regular Fit,Rayon,Men Trousers 1,https://www.myntra.com/trousers/tahvo/tahvo-men-relaxed-straight-leg-mid-rise-formal-trousers/29716804/buy
33447929,Men Slim Fit Trousers,United Colors of Benetton,2974,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/AUGUST/3/LjWaPK4t_64097da9dd0a4b8b8d837d2e70ad6ed9.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/19970018/2022/9/16/fd4cf03c-be58-43e5-b432-9a68dc12e8e11663342942234BelwabaMenBlackBelts1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/NOVEMBER/25/Ja0ObRNA_ce743f37979b4aaf83e500826939e2cc.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/20/44uoaGdZ_ef5a01023ffe4f2e94d2dbfcd7096ae2.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/NOVEMBER/16/Utx9SS4N_754a9b05b5ff4df095847d675472640d.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details   Grey woven trousers   Slim fit   Mid-rise   Length:  regular   Pattern: solid   Flat-front, with no pleats design   Feature:  plain   5 pockets  Size & Fit Fit: Slim Fit  The model (height 6') is wearing a size 32Material & CareCotton Blend,Machine wash as per tagSpecificationsWaist RiseMid-RiseLengthRegularFitSlim FitPrint or Pattern TypeSolidClosureButtonType of PleatFlat-FrontWeave TypeWovenFly TypeZipSee More",N/A,In Stock,28 | 30 | 32 | 34 | 36,Slim Fit,Cotton,Men Trousers 1,https://www.myntra.com/trousers/united+colors+of+benetton/united-colors-of-benetton-men-slim-fit-trousers/33447929/buy
