product_id,name,brand,price,image_url,description,rating,stock_status,category,product_link
27225752,THOMAS CRICK,Men Leather Chelsea Boots,1889,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27225750/2024/1/27/05829115-e50b-4c67-b88b-d4bffa7441eb1706347921619Boots6.jpg","Product Details A pair of black solid chelsea boots, has mid-top ankle and slip-on fastening and back detailLeather Solid upper materialCushioned footbedTextured and patterned TPR outsoleMaterial & CareLeatherUse a branded Leather conditioner to clean the productSpecificationsAnkle HeightMid-TopFasteningSlip-OnMaterialLeatherOccasionCasualPatternSolidSole MaterialTPRToe ShapeRound ToeTypeChelsea Boots",4.4|764 Ratings,Unknown,Men Shoes,https://www.myntra.com/boots/thomas+crick/thomas-crick-men-leather-chelsea-boots/27225752/buy
25841288,Puma,Badminton Smash Sprint Indoor Shoes,1849,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/25841290/2025/3/3/d6a9024a-de7a-4d67-a347-945aefb4f0de1740985651148-Puma-Unisex-Badminton-Smash-Sprint-Indoor-Shoes-533174098565-1.jpg","Product Details PRODUCT DESIGN DETAILS:A pair of off white, red solid with round toe sports shoes with regular styling has a lace up closureSynthetic upperCushioned footbedRubber outsoleAn engineered jacquard mesh upperBetter durabilityHeel type: FlatShoe width: Regular fitShoe pronation: NeutralLow bootVariofoam for a lightweight cushioning sensationPUMA cat logo branding.Warranty: 3 monthWarranty provided by brand/manufacturerPRODUCT STORY :Ready for the smash? Experience the revolution of Variofoam, offering a lightweight cushion that propels you to leap and lunge with ease. The Variomesh upper envelopes your feet in unparalleled breathability and comfort, keeping you cool as the match heats up. Designed with a non-marking outsole for flawless movement and a stability frame that delivers exceptional lateral and medial support, these shoes are the ultimate ally in every intense rally.Material & CareMeesh  Wipe with a clean dry cloth to remove dustSpecificationsSportBadmintonMaterialMeshFasteningLace-UpsAnkle HeightMid-TopOutsole TypeMarkingCleatsNo CleatsPronation for Running ShoesNeutralCushioningMediumSee More",4.1|513 Ratings,Unknown,Men Shoes,https://www.myntra.com/sports-shoes/puma/puma-badminton-smash-sprint-indoor-shoes/25841288/buy
24098434,Puma,Unisex Perforated Sneakers,2699,N/A,"Product Details A pair of round toe white perforated sneakers, has regular styling,Lace-ups detailSynthetic leather upperCushioned footbedRubber midsoleTextured and patterned rubber outsoleSOFTRIDE: Soft foam designed for all-day cushioning and comfortSOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel. PUMA Formstrip on the medial and lateral sidesPUMA FOT on the heelWarranty: 3 monthsWarranty provided by brand/manufacturerAbout the ProductCourt Ultra Lite is where classic sneaker style meets comfort, a re-interpretation of a court leather classic equipped with a comfortable insert. This edition features clean cupsole tooling, buck toe overlays, and perforation details, making them the simple yet stylish kicks your everyday wardrobe has always needed. The upper of this shoe is made with at least 20% recycled materials as a step toward a better future.Material & CareSynthetic leatherWipe with clean and dry cloth to remove dustSpecificationsTypeSneakersToe ShapeRound ToePatternPerforationsFasteningLace-UpsShoe WidthRegularAnkle HeightRegularInsoleComfort InsoleSole MaterialRubberSee More",4.4|719 Ratings,Unknown,Men Shoes,https://www.myntra.com/casual-shoes/puma/puma-unisex-perforated-sneakers/24098434/buy
28245500,Red Tape,Men Textured Round Toe Formal Loafers,1385,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/28245498/2024/3/14/b69bc5a7-1b03-487d-8626-b1ce1e6e7b3b1710388295088RedTapeFormalLoafersforMenRealLeatherShoesWithLow-cutPattern1.jpg",Product Details A pair of black textured round-toe formal loafers with regular styling has a slip-on closureLeather upperCushioned footbedTextured and patterned TPR outsoleWarranty: 45 DaysWarranty provided by brand/manufacturerMaterial & CareLeatherUse a branded Leather conditioner to clean the productSpecificationsTypeLoafersFasteningSlip-OnToe ShapeRound ToePatternTexturedAnkle HeightRegularSole MaterialTPRWarranty45 days,4.2|116 Ratings,Unknown,Men Shoes,https://www.myntra.com/formal-shoes/red+tape/red-tape-men-textured-round-toe-formal-loafers/28245500/buy
30191546,WROGN,Men Woven Design Running Shoes,1715,N/A,"Product Details A pair of white running shoes, has regular Styling, lace-ups closure, engineered with e-magic form technologySynthetic UpperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand owner/manufacturerMaterial & CareUpper material: SyntheticWipe with a clean, dry cloth to remove the dustSpecificationsSportRunningMaterialSyntheticFasteningLace-UpsAnkle HeightRegularOutsole TypeMarkingCleatsNo CleatsPronation for Running ShoesNeutralArch TypeMediumSee More",N/A,Unknown,Men Shoes,https://www.myntra.com/sports-shoes/wrogn/wrogn-men-woven-design-running-shoes/30191546/buy
30018947,Red Tape,Men Lace-Ups Sneakers,1205,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30018938/2024/6/22/9b81ecef-cb0d-445b-a0de-96f8331e034c1719053567641RedTapeMenColourblockedPUSneakers1.jpg","Product Details A pair of round toe white Sneakersshoes ,has regular styling,Lace-ups detailPu upperCushioned footbedTextured and patterned outsoleWarranty: 45 daysMaterial & CarePUWipe with a clean, dry cloth to remove the dust.SpecificationsTypeSneakersToe ShapeRound ToePatternSolidFasteningLace-UpsShoe WidthRegularAnkle HeightRegularInsoleMemory FoamSole MaterialTPRSee More",4.4|410 Ratings,Unknown,Men Shoes,https://www.myntra.com/casual-shoes/red+tape/red-tape-men-lace-ups-sneakers-/30018947/buy
31338900,Flying Machine,Men Lace-Ups PU Sneakers,1919,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30103742/2024/9/20/6c83550b-c661-4621-bdd7-66d9efeeaf391726792113779-Flying-Machine-Men-Round-Toe-Comfort-Insole-Sneakers-2621726-1.jpg","Product Details A pair of round toe white sneakers ,has regular styling,Lace-ups detailPu upperCushioned footbedTextured and patterned outsoleWarranty: 3 months Warranty provided by brand/manufacturerMaterial & CarePUWipe with a clean, dry cloth to remove dustSpecificationsTypeSneakersToe ShapeRound ToePatternSolidFasteningLace-UpsShoe WidthRegularOrnamentationWestern - EmbellishedAnkle HeightRegularInsoleComfort InsoleSee More",4.3|120 Ratings,Unknown,Men Shoes,https://www.myntra.com/casual-shoes/flying+machine/flying-machine-men-lace-ups-pu-sneakers/31338900/buy
32756719,HRX by Hrithik Roshan,Unisex Mesh Running Non-Marking Shoes,1117,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32093860/2024/12/26/78ead5ea-2ba9-4756-93fd-ead8c9dd9cbf1735210371454SportsShoes1.jpg","Product Details A pair of off white shoes, has regular Styling, lace-ups detail  Upper  Cushioned footbed  Textured and patterned outsole  Warranty: 30 days  Material & CareClean it with dry cloth after useSpecificationsSportRunningMaterialMeshFasteningLace-UpsAnkle HeightRegularOutsole TypeNon-MarkingCleatsNo CleatsCushioningMediumWarranty30 daysSee More",4.2|57 Ratings,Unknown,Men Shoes,https://www.myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-unisex-mesh-running-non-marking-shoes/32756719/buy
32684910,Blacktown,Men Mesh Running Non-Marking Shoes,1099,N/A,"Product Details A pair of black shoes, has regular Styling, lace-ups detailUpperCushioned footbedTextured and patterned outsoleMaterial & CareMeshWipe with a clean dry cloth to remove dustSpecificationsSportRunningMaterialMeshFasteningLace-UpsAnkle HeightRegularOutsole TypeNon-MarkingCleatsNo CleatsCushioningLowRunning TypeLong DistanceSee More",N/A,Unknown,Men Shoes,https://www.myntra.com/sports-shoes/blacktown/blacktown-men-mesh-running-non-marking-shoes/32684910/buy
32093861,HRX by Hrithik Roshan,Unisex HRX-235 03 Mesh Running Non-Marking Shoes,1117,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32093860/2024/12/26/78ead5ea-2ba9-4756-93fd-ead8c9dd9cbf1735210371454SportsShoes1.jpg","Product Details A pair of black shoes, has regular Styling, lace-ups detailMeshUpperCushioned footbedTextured and patterned outsoleWarranty: 30 daysWarranty: Warranty provided by brand/manufacturerMaterial & CareMeshClean it with dry cloth after useSpecificationsSportRunningMaterialMeshFasteningLace-UpsAnkle HeightRegularOutsole TypeNon-MarkingCleatsNo CleatsCushioningMediumRunning TypeTrackSee More",3.8|26 Ratings,Unknown,Men Shoes,https://www.myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-unisex-hrx-235-03-mesh-running-non-marking-shoes/32093861/buy
