product_id,name,brand,price,image_url,description,rating,stock_status,category,product_link
30257319,Women Oversized Casual Shirt,Roadster,554,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30257310/2024/10/7/a3038269-2461-4b37-af8d-8ace4c370fcf1728302973766-Womens-Oversize-Long-Sleeve-Johny-Collar-Pue-Cotton-Shirt-55-1.jpg","Product Details White solid opaque Casual shirt ,has a spread collar,  button placket,  long drop-shoulder sleeves,  curved hemSize & FitFit: OversizedThe model (height 5'8) is wearing a size SMaterial & Care100% CottonMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitOversizedPrint or Pattern TypeSolidOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More",4.3|184 Ratings,In Stock,Women Shirts,https://www.myntra.com/shirts/roadster/roadster-women-oversized-casual-shirt/30257319/buy
26171696,Abstract Printed Oversized Casual Shirt,DL Woman,999,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/26171652/2025/4/9/02550399-e0c6-40c7-b54f-950664f9fa7d1744210327266-DL-Woman-Abstract-Printed-Casual-Oversized-Shirt-22917442103-1.jpg","Product Details Blue, pink & orange abstract printed Casual shirt ,has a spread collar, button placket,  long regular sleeves, straight hemSize & FitFit: OversizedThe model (height 5'8) is wearing a size SMaterial & CareViscose RayonMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitOversizedPrint or Pattern TypeAbstractOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More",4.2|387 Ratings,In Stock,Women Shirts,https://www.myntra.com/shirts/dl+woman/dl-woman-abstract-printed-oversized-casual-shirt/26171696/buy
32179900,Women Smart Mandarin Collar Solid Cotton Formal Shirt,Style Quotient,647,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/22748182/2023/4/13/1c1f853b-8d7b-4648-b4a2-fd3e9b3e6b1a1681333219349StyleQuotientsWomenSolidBlueChambrayFormalShirt1.jpg","Product Details Beige opaque formal shirt for womenMandarin collarButton placketShort, Puff sleevesCurved hemlineSize & FitSmart Regular FitThe model (height 5.8') is wearing a size SMaterial & CareCottonMachine WashSpecificationsSleeve LengthShort SleevesCollarMandarin CollarFitRegular FitBrand Fit NameSmartPrint or Pattern TypeSolidOccasionFormalLengthRegularHemlineCurvedSee More",4.3|125 Ratings,In Stock,Women Shirts,https://www.myntra.com/shirts/style+quotient/style-quotient-women-smart-mandarin-collar-solid-cotton-formal-shirt/32179900/buy
25901976,Classic Spread Collar Long Sleeves Cotton Casual Shirt,High Star,988,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/24393396/2023/8/8/19ee012f-d1bc-4a95-a46d-bdbcb84b01e91691438760543HighStarWomenGreenClassicOpaqueCasualShirt1.jpg","Product Details Red solid opaque casual shirt ,has a spread collar, button placket, 1 pocket, long regular sleeves, curved hemHigh Star - Product by BRND.MESize & FitBrand Fit: ClassicFit: RegularThe model (height 5'8) is wearing a size SMaterial & Care100% CottonMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRegular FitBrand Fit NameClassicPrint or Pattern TypeSolidOccasionCasualLengthRegularHemlineStraightSee More",3.7|586 Ratings,In Stock,Women Shirts,https://www.myntra.com/shirts/high+star/high-star-classic-spread-collar-long-sleeves-cotton-casual-shirt/25901976/buy
11711658,Women White Stretchable Casual Shirt,her by invictus,614,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/23891166/2023/7/20/fc879546-7d05-4062-aed5-6b0daa2e44f61689850288612-her-by-invictus-Women-Shirts-3851689850288106-1.jpg","Product Details White solid casual shirt, has a mandarin collar with crochet detail, long sleeves, button placket, and curved hemSize & FitThe model (height 5'8"") is wearing a size SMaterial & CareMaterial: 97% Cotton, 3% LycraMachine WashSpecificationsSleeve LengthLong SleevesCollarMandarin CollarFitRegular FitPrint or Pattern TypeSolidOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More",4.3|3k Ratings,In Stock,Women Shirts,https://www.myntra.com/shirts/her+by+invictus/her-by-invictus-women-white-stretchable-casual-shirt/11711658/buy
31012271,The Lifestyle Co. Women Cuban Collar Vertical Striped Cotton Boxy Casual Shirt,Roadster,699,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/DECEMBER/3/rQPQba5Q_eb4f8024d9504ce696078a5e39538d79.jpg",Product Details Black opaque casual shirtCuban collarButton placketStraight hemlineSize & FitBoxyThe model (height 5.8') is wearing a size SMaterial & CareCottonHand WashSpecificationsSleeve LengthShort SleevesCollarCuban CollarFitBoxyPrint or Pattern TypeVertical StripesOccasionCasualLengthRegularHemlineStraightPlacketButton PlacketSee More,4.4|1.6k Ratings,In Stock,Women Shirts,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-women-cuban-collar-vertical-striped-cotton-boxy-casual-shirt/31012271/buy
31820704,The Lifestyle Co. Women Spread Collar Textured Casual Shirt,Roadster,639,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/DECEMBER/3/nkS7B1gV_a5f44d5f250a4cb08fbc61385dd76dc9.jpg",Product Details 1 Yellow opaque casual shirtSpread collarButton placketLong sleevesCurved hemlineSize & FitRegular FitThe model (height 5.8') is wearing a size SMaterial & CarePolyesterMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRegular FitPrint or Pattern TypeTexturedOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More,3.9|118 Ratings,In Stock,Women Shirts,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-women-spread-collar-textured-casual-shirt/31820704/buy
31298477,The Lifestyle Co. Women Spread Collar Abstract Printed Silk Casual Shirt,Roadster,699,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31298470/2024/11/28/485f446c-2860-4e67-8665-572d2a2c6f661732810807405-The-Roadster-Lifestyle-Co-Women-Spread-Collar-Abstract-Print-6.jpg",Product Details White & Brown opaque casual shirtSpread collarButton placketLong sleevesCurved hemlineSize & FitRegular FitThe model (height 5.8') is wearing a size SMaterial & CareSilkMachine WashSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRegular FitPrint or Pattern TypeAbstractOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More,4.2|184 Ratings,In Stock,Women Shirts,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-women-spread-collar-abstract-printed-silk-casual-shirt/31298477/buy
32351468,Relaxed Fit Fluid Casual Shirt,MANGO,3790,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32351454/2025/3/3/bb2a9ea2-ea52-4eed-9307-ce716ae9d25f1740993575007-MANGO-Women-Shirts-6301740993574313-1.jpg",Product Details Red solid opaque casual shirtHas a spread collarButton placketLong drop-shoulder sleevesCurved hemSize & FitFit: Relaxed FitThe model (height 5'8) is wearing a size SMaterial & Care100% LyocellMachine washSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitRelaxed FitPrint or Pattern TypeSolidOccasionCasualLengthRegularHemlineCurvedPlacketButton PlacketSee More,3.4|10 Ratings,In Stock,Women Shirts,https://www.myntra.com/shirts/mango/mango-relaxed-fit-fluid-casual-shirt/32351468/buy
30543872,Regular Fit Semi-Formal Slim Fit Shirt,MANGO,1674,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/2/YYBNEGgP_535eb2aa00f843e8843f0a8f1334f60d.jpg","Product Details White solid shirt, has a spread collar, long cuffed sleeves, curved hemSize & FitThe model (height 5""8') is wearing a size SMaterial & Care97% Cotton,3% ElastaneMachine-washSpecificationsSleeve LengthLong SleevesCollarSpread CollarFitSlim FitPrint or Pattern TypeSolidOccasionSemiformalLengthRegularHemlineCurvedPlacketButton PlacketSee More",4.3|35 Ratings,In Stock,Women Shirts,https://www.myntra.com/shirts/mango/mango-regular-fit-semi-formal-slim-fit-shirt/30543872/buy
