product_id,name,brand,price,image_urls,description,rating,stock_status,available_sizes,fit_type,material,category,product_link
13560680,Women Mauve & Gold-Toned Ethnic Platform Heels,House of Pataudi,924,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32096274/2025/3/22/818d3143-c8b3-4df8-bc54-6132827daa181742628548795-Anouk-Women-Embellished-Block-Sandals-6031742628548396-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/OCTOBER/24/kFG0hGhL_1f2177973c7f4254a42122e765aa6bf5.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of mauve and gold-toned heels,has regular ankle and open backSynthetic woven design upperCushioned footbedTextured and patterend outsole, has a platform heelDisclaimer: This product has been crafted by hand and may have slight irregularities in print, embroidery or colour between individual products.Size & Fit8.89 cm (3.5 inches)Material & CareSyntheticWipe with a clean, dry cloth to remove dustSpecificationsHeel TypePlatformTypeSandalsHeel Height3.5 inchesFastening and Back DetailOpen BackToe ShapeOpen ToePatternWoven DesignAnkle HeightRegularOccasionEthnicSee More",4.3|1.2k Ratings,In Stock,36 | 37 | 38 | 39 | 40 | 41,N/A,Net,Women Shoes,https://www.myntra.com/heels/house+of+pataudi/house-of-pataudi-women-mauve--gold-toned-ethnic-platform-heels/13560680/buy
18837276,Pink Colourblocked PU Wedge Sandals,Monrow,1399,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/18837278/2023/10/17/ddf3e0b7-936e-4c15-9133-3e13bcc5d5181697541686507MonrowYellowPUFlatformSandals7.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/21814214/2023/2/2/c31ad2ca-e10e-4ee7-ae18-4d3a14d9b2011675340611355MonrowAadhyaGunmetalWedgeHeels7.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/SEPTEMBER/6/AfzuLY5l_c801148f7c1d449c8706dfec356efb3c.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32026023/2024/12/19/45c670d4-db69-429a-ac91-6b2bad33c90a1734611848610HRXByHrithikRoshanWomenBlackEvaCasualSlipOnFlipFlops1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/15770556/2021/10/7/ee28af52-e19b-4e8a-9365-865d27b639b71633625380136CarltonLondonsportsWomenPinkSolid1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/20988972/2022/11/30/dc1c7ac3-7315-457d-b4f7-105e4a6dde221669801784782ActionPlusWomenBeigeRubberThongFlip-Flops1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/JULY/23/NrFyAOJt_0738b7f3a4714ad0940593a014ffede0.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of  pink sandals ,has regular ankle and open back  Pu colourblocked upper with other  Cushioned footbed  Textured and patterend outsole, has a wedge  Warranty: 1 month Size & FitHeel height: 5.08 cm (2 inches)Material & CareWipe with a clean, dry cloth to remove dustSpecificationsHeel TypeWedgeTypeSandalsHeel Height2 inchesFastening and Back DetailOpen BackToe ShapeOpen ToePatternColourblockedAnkle HeightRegularOccasionCasualSee More",4.4|712 Ratings,In Stock,36 | 37 | 38 | 39 | 40 | 41,N/A,Pu,Women Shoes,https://www.myntra.com/heels/monrow/monrow-pink-colourblocked-pu-wedge-sandals/18837276/buy
21767244,Smashic Casual Sneakers,Puma,1664,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/21767158/2025/3/1/40fc8c88-4940-41d9-84c5-5b16c9459bb61740835980030-Puma-Smashic-Casual-Sneakers-1541740835979555-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/25755366/2023/11/3/a96734f9-916d-44a1-b048-ad3523fe9bc21699032566505UnisexSocks1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/28294324/2024/3/15/3afaa7a5-04d0-4e32-bd82-c2a810317e3f1710496918611HooksandHolders1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/NOVEMBER/7/xp6OkmVt_e35601708fe142f289c58f4c4bf0c2b3.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/4/SAaDSyeE_8996fecfc5f34782801154d6b959303f.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/18/OagHNgop_4ec37e6864d8413b800e9060d61dcd5f.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details PRODUCT DESIGN DETAILS:A pair of brand logo printed detail round-toe casual sneakers shoes with regular styling has a lace-up closureSynthetic upperCushioned footbedcomfort insoleTextured and patterned Rubber sole materialWarranty: 3 MonthsWarranty provided by brand/manufacturerPRODUCT STORY : Step up your sneaker game with the Smashic Sneakers from PUMA. The PUMA formstrip adds a touch of style, while the Softfoam sockliner ensures maximum comfort. The rubber outsole provides superior traction, making these sneakers perfect for any casual or athletic occasion. FEATURES & BENEFITS : SoftFoam+: PUMA's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your day Details : Synthetic upper, Rubber outsole, Heel type: Flat, Shoe width: Regular fit, Shoe pronation: Neutral, Heel-to-toe-drop: 0 mm, PUMA Cat logo on heel, PUMA Wordmark & Cat Logo on tongueSize & Fit-Material & CareMaterial Synthetic Sole Material Rubber Wipe with clean dry cloth to remove dust.SpecificationsTypeSneakersToe ShapeRound ToePatternSolidFasteningLace-UpsShoe WidthRegularAnkle HeightRegularInsoleComfort InsoleSole MaterialRubberSee More",4.3|19.2k Ratings,In Stock,3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11,Regular Fit,Synthetic,Women Shoes,https://www.myntra.com/casual-shoes/puma/puma-smashic-casual-sneakers/21767244/buy
29676914,Open Toe Flatform Heels,Monrow,1599,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/OCTOBER/9/pohbb2rJ_21337a4995bc4ff8ad8ff81be29ac684.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/28790296/2024/4/9/8aaeef90-a1ce-4fae-b338-2b47ee726cb31712654071071FlipFlops1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/29400908/2024/5/7/24c306bf-fcb0-4d48-b9ca-537f504b992b1715078603956FlipFlops1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/28923864/2024/4/13/30ecb20e-8a85-4808-9148-ba0871f1d0d51713013935977FlipFlops1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/23944798/2023/7/10/f8b72e20-5445-4e25-94e7-4729a0b7aa391688957780068ELPASOWomenBeigeFauxLeatherCasualSlipOnSandals1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32849808/2025/4/22/cec0839d-fa11-4e44-98b0-b6d97b6e68081745315523944-CHUPPS-Plush-Women-Printed-Thong-Flip-Flops-7111745315523497-1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of brown open toe heels, has regular ankle and open backSuede solid upper Cushioned footbedTextured and patterend outsole, has a flatformWarranty: 1 monthSize & FitHeel height: 5.08 cm (2 inches)Material & CareSuedeWipe with a clean, dry cloth to remove the dustSpecificationsHeel TypeFlatformTypeSandalsHeel Height2 inchesFastening and Back DetailOpen BackToe ShapeOpen ToePatternSolidAnkle HeightRegularOccasionCasualSee More",3.9|29 Ratings,In Stock,36 | 37 | 38 | 39 | 40 | 41,N/A,Suede,Women Shoes,https://www.myntra.com/heels/monrow/monrow-open-toe-flatform-heels/29676914/buy
31571928,Women GO RUN PURE Running Non-Marking Shoes,Skechers,3499,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31571935/2024/11/21/521ea251-7e3c-4f47-addc-d6b8460f80551732171426872-SKECHERS-WOMEN-SHOE-8021732171426368-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/SEPTEMBER/6/oV6LcVvr_65ecf249b70946469ee3c428e1866a01.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26460014/2024/8/28/dde6fc0f-4c1e-459c-8646-7848fff003b41724844909983-HRX-by-Hrithik-Roshan-Women-Pack-Of-3-White--Beige-Patterned-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/AUGUST/13/KOcEdSMs_61e5e367b39d431e9f8d88855930b46f.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/NOVEMBER/25/s5954eGc_58b8fd7e701e4531b9d4f3e4af71a093.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/9183347/2019/4/8/e1e32e73-bb1c-42ac-949c-7724d42ecee51554708862566-Alcis-Women-Black-Printed-Round-Neck-T-shirt-526155470886144-1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Product Design Detail:A pair of mauve shoes has regular Styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturerAbout the ProductGet Pure Sleek Running Style And The Ultimate In Comfort Rides With The Skechers Gorun Pure. A Neutral Running Design On An Ultra Go Cushioned Platform.Material & CareUpper: MeshSole:EVAWipe with a clean, dry cloth to remove dustSpecificationsSportRunningMaterialMeshFasteningLace-UpsAnkle HeightRegularOutsole TypeNon-MarkingCleatsNo CleatsCushioningMediumWarranty3 monthsSee More",4.5|184 Ratings,In Stock,3 | 4 | 5 | 6 | 7,N/A,Mesh,Women Shoes,https://www.myntra.com/sports-shoes/skechers/skechers-women-go-run-pure-running-non-marking-shoes/31571928/buy
27455426,Women Textured Flyknit Slip-On Sneakers,Carlton London,1379,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27455418/2025/3/27/d5b16b2b-8234-420b-9b34-6a8a21eff5521743059344856-Carlton-London-Women-Textured-Flyknit-Slip-On-Sneakers-92217-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27455420/2025/3/27/872e4a08-1092-4f98-b7d6-b338ed1551731743059354991-Carlton-London-Women-Textured-Flyknit-Slip-On-Sneakers-41817-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/31953132/2024/12/12/f829d9eb-fe0b-4008-91dc-6be3c847fde81734027269490Sandals1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/23673624/2023/6/19/afb84c8a-17cd-48e4-9b60-1842a4d2238c1687157026831BROADSTARWomenNavyBlueTailoredStraightFitHigh-RiseEasyWashTr1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/29585820/2024/5/17/d7a0d1cc-3ecc-4c96-b025-939f114a5cc41715924199852AarshaWomenEthnicMotifsPleatedTrousers1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/18/v8NswkjX_cfffc17b1b884e70970ffcc6c114e426.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/25565788/2023/10/20/52d21f5e-a1df-4a24-a9b0-9db02b6dbb7b1697785886212Womenmid-riseloungepants1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of round toe grey textured flyknit slip-on sneakers ,has regular styling,Lace-ups detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 14 daysWarranty provided by brand/manufacturerMaterial & CareMeshWipe with a clean, dry cloth to remove dustSpecificationsTypeSlip-On SneakersToe ShapeRound ToePatternTexturedFasteningLace-UpsShoe WidthRegularTechnologyFlyknitAnkle HeightRegularInsoleComfort InsoleSee More",4.4|37 Ratings,In Stock,3 | 4 | 5 | 6 | 7 | 8,N/A,Mesh,Women Shoes,https://www.myntra.com/casual-shoes/carlton+london/carlton-london-women-textured-flyknit-slip-on-sneakers/27455426/buy
30431648,Women Embellished Open Toe Flats,Anouk,577,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32096835/2024/12/26/069dca2b-b068-44b1-8b93-dd17046d91971735230002630WomenSelfDesignedSliders1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30363107/2024/9/14/286e3b95-c973-462c-b485-253e681095421726271263517-yoho-Women-Open-Toe-Flats-2941726271263007-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18334600/2022/5/19/d0648f85-f25c-4736-afda-19f29a153e9d1652959671784FlipFlops1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/AUGUST/20/mhyvImVq_eebc4344d0bf444f996ae61ab4b223b6.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/29889285/2024/6/4/8c77a468-55d6-4292-baaa-c008e4f881911717486569199FlipFlops1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of cream-coloured open toe flatsUpper Material: syntheticCushioned footbedTextured and patterned outsoleMaterial & CareSyntheticWipe with a clean, dry cloth to remove dust.SpecificationsTypeOpen Toe FlatsToe ShapeOpen ToeFastening and Back DetailNo Back StrapPatternEmbellishedOccasionCasualOrnamentationWestern - EmbellishedAnkle HeightRegularSole MaterialRubber",4.3|971 Ratings,In Stock,36 | 37 | 38 | 39 | 40,N/A,Synthetic,Women Shoes,https://www.myntra.com/flats/anouk/anouk-women-embellished-open-toe-flats/30431648/buy
14347906,Women Gold-Toned & Rose Gold-Toned Embellished Block Heels,WALKWAY by Metro,1099,"https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/NOVEMBER/30/8Hrf0W6X_7888030bb8cb4cab9a56a3b24fc23bba.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/24713822/2023/8/29/169e5881-489a-4f4a-8058-8d0e57a9ce851693311392908NIGHTKEYSLimeGreenMaxiNightdress1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/27841508/2024/2/24/122f7547-9048-4f42-94dd-c5cdbd9283c31708768958623AnoukWomenFlaredSleevesKurta5.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/24655184/2023/8/25/0efe88fc-c320-4985-9175-f92a5cd1f3141692956070760JewelsGalaxyWhiteContemporaryDropEarrings1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/17868442/2022/4/13/db5b199d-13f5-4822-ae0d-0fa4a17b80f41649825038829ANIKASCREATIONWomenGold-PlatedWhiteKundanEmbellishedMaangTik1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of gold-toned & rose gold-toned open toe block heels, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heelWarranty: 1 monthWarranty provided by brand/manufacturerSize & FitHeel height: 2 inchesMaterial & CareSyntheticWipe with a clean, dry cloth to remove dustSpecificationsHeel TypeBlockTypeSandalsHeel Height2 inchesFastening and Back DetailBackstrapToe ShapeOpen ToePatternEmbellishedOrnamentationWestern - EmbellishedAnkle HeightRegularSee More",4.3|2.1k Ratings,In Stock,37 | 38 | 39 | 40 | 41,N/A,Synthetic,Women Shoes,https://www.myntra.com/heels/walkway+by+metro/walkway-by-metro-women-gold-toned--rose-gold-toned-embellished-block-heels/14347906/buy
32711395,Women Suede Comfort Sandals,Mast & Harbour,999,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32711399/2025/2/13/ee61d438-d7fb-4775-9c89-71286abcabea1739454127884-Mast--Harbour-Women-Suede-Comfort-Sandals-7291739454127411-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/APRIL/14/nKe8z95A_22992d3913ca437a8384b04ccf63478f.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/APRIL/14/BoW08BCi_3aee1e5fca354250a07b80fb96f30bd7.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/APRIL/14/d9zp8XCj_6dd7e10cc9e0433a949aa1d07561be38.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/33593180/2025/4/23/cebc7741-38df-4c01-9b95-a87bc19bb9231745421363803-Mast--Harbour-Women-One-Toe-Flats-6041745421363500-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/APRIL/14/IDhsrBcy_6b0f4a3aa6a64a4cb94b930a3350e680.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/19641396/2022/10/20/927fa943-05d0-42f3-b7f5-9c4a5545c50c1666240425507LuxCottswoolWomenPackOf2BrownSolidCottonThermalBottoms1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/18052660/2022/4/27/47576b19-1ca0-424b-9643-a79267a01eb81651042504773KALINIWomensMagentaRedGeorgettePrintedComboSareeWithUnstithe1.jpg",Product Details A pair of tan comfort sandals  Suede upper with slip-on closure  Cushioned footbed  Patterned pu outsole  Warranty: 1 month  Warranty provided by brand owner/manufacturerMaterial & CareClean with dry cloth when neededDo not washSpecificationsTypeOne Toe FlatsToe ShapeOpen ToeFastening and Back DetailBucklePatternSolidOccasionCasualAnkle HeightRegularSole MaterialPUWarranty1 month,4.2|118 Ratings,In Stock,36 | 37 | 38 | 39 | 40 | 41,N/A,Suede,Women Shoes,https://www.myntra.com/flats/mast+%26+harbour/mast--harbour-women-suede-comfort-sandals/32711395/buy
14602364,Black Embellished Wedge Sandals,Bata,1039,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/16168382/2022/8/18/f3f2d161-4d68-446a-882b-dfcf0b98e4b21660814109538-Bata-Beige-Solid-PU-Wedge-Ankle-Loop-Sandals-124166081410912-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26198780/2023/12/2/9d270fdf-f1f5-4c62-932f-3b8579e05f8d1701518002059LibertyWomenWhiteSyntheticClogsSandals1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/28164570/2024/3/9/05ef41f9-df97-4506-b83f-26315c156ee21709989891410LibertyDINZY-2EHealersLadiesPeachSlip-OnThongFlipFlop1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/19239220/2022/7/25/599d4843-f225-440c-8035-8776ec19feb21658726110658ApraaParmaWomenMaroonSlimFitCyclingSportsShorts1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/15201810/2021/8/19/8c79fced-7523-4107-9b45-bf81c0e73faa1629377997020CarltonLondonsports1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/23160828/2023/5/13/ab2b4035-309f-4122-9041-7b89b46534171683953134783Bra1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details A pair of black sandals has regular and backstrapPu solid upper with ethnic- embellishedCushioned footbedTextured and patterend outsole, has a wedge heelSize & FitHeel height: 7.62 cm (3 inches)Material & CareUpper material: PUWipe with clean and dry cloth to remove dustSpecificationsHeel TypeWedgeTypeSandalsHeel Height3 inchesFastening and Back DetailBackstrapToe ShapeOpen ToePatternSolidOrnamentationWestern - EmbellishedAnkle HeightRegularSee More",4.4|3.5k Ratings,In Stock,36 | 37 | 38 | 39 | 40 | 41,N/A,Pu,Women Shoes,https://www.myntra.com/heels/bata/bata-black-embellished-wedge-sandals/14602364/buy
