product_id,name,brand,price,image_urls,description,rating,stock_status,available_sizes,fit_type,material,category,product_link
31563706,Women Relaxed Loose Fit Trousers,TABADTOD,864,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/NOVEMBER/7/aGBNxCxU_e6e938ccd92b4ad58ecee8de0d2e027b.jpg|https://assets.myntassets.com/assets/images/2024/NOVEMBER/7/LTp7mWLL_d97d5e9bfa5843308e7e82a6c2e945de.jpg?im=Crop,rect=(519,130,21,43)|https://assets.myntassets.com/assets/images/2024/NOVEMBER/7/LTp7mWLL_d97d5e9bfa5843308e7e82a6c2e945de.jpg?im=Crop,rect=(443,216,119,87)|https://assets.myntassets.com/assets/images/2024/NOVEMBER/7/LTp7mWLL_d97d5e9bfa5843308e7e82a6c2e945de.jpg?im=Crop,rect=(400,216,248,274)|https://assets.myntassets.com/assets/images/2024/NOVEMBER/7/LTp7mWLL_d97d5e9bfa5843308e7e82a6c2e945de.jpg?im=Crop,rect=(260,504,540,893)|https://assets.myntassets.com/assets/images/2024/NOVEMBER/7/LTp7mWLL_d97d5e9bfa5843308e7e82a6c2e945de.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/32174604/2025/1/3/7180fa1a-4822-4bd0-b969-0c3c3878ba291735876848492KrelinV-ShapedElegantMetalBuckle2-PcsSwimBikiniSet1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/DECEMBER/9/b6622NwU_5a05b516238f4920a5fb9acfd3b294a9.jpg","Product Details Black knitted trousersLoose fitBrand Fit: relaxedMid-riseLength: regularPattern: solid Flat-front, with no pleats designFeature: side stripes2 pocketsSize & FitBrand Fit: Relaxed  Fit: Loose Fit  The model (height 5'8) is wearing a size 28Material & CarePolyesterMachine WashSpecificationsWaist RiseMid-RiseLengthRegularFitLoose FitBrand Fit NameRelaxedPrint or Pattern TypeSolidClosureSlip-OnType of PleatFlat-FrontWeave TypeKnittedSee More",3.4|239 Ratings,In Stock,26 | 28 | 30 | 32 | 34 | 36,Loose Fit,Polyester,Women Trousers,https://www.myntra.com/trousers/tabadtod/tabadtod-women-relaxed-loose-fit-trousers/31563706/buy
26893990,Women Smart Loose Fit High-Rise Easy Wash Parallel Trouser,BROADSTAR,899,"https://assets.myntassets.com/assets/images/26893990/2024/1/12/a1f52b8e-d858-4e07-af28-d06636b797961705049323157BROADSTARWomenBlackSmartLooseFitHigh-RiseEasyWashTrousers3.jpg?im=Crop,rect=(206,1282,108,130)|https://assets.myntassets.com/assets/images/26893990/2024/1/12/a1f52b8e-d858-4e07-af28-d06636b797961705049323157BROADSTARWomenBlackSmartLooseFitHigh-RiseEasyWashTrousers3.jpg?im=Crop,rect=(454,0,32,44)|https://assets.myntassets.com/assets/images/26893990/2024/1/12/a1f52b8e-d858-4e07-af28-d06636b797961705049323157BROADSTARWomenBlackSmartLooseFitHigh-RiseEasyWashTrousers3.jpg?im=Crop,rect=(735,677,194,317)|https://assets.myntassets.com/assets/images/26893990/2024/1/12/a1f52b8e-d858-4e07-af28-d06636b797961705049323157BROADSTARWomenBlackSmartLooseFitHigh-RiseEasyWashTrousers3.jpg?im=Crop,rect=(476,72,118,87)|https://assets.myntassets.com/assets/images/26893990/2024/1/12/a1f52b8e-d858-4e07-af28-d06636b797961705049323157BROADSTARWomenBlackSmartLooseFitHigh-RiseEasyWashTrousers3.jpg?im=Crop,rect=(400,87,281,288)|https://assets.myntassets.com/assets/images/26893990/2024/1/12/a1f52b8e-d858-4e07-af28-d06636b797961705049323157BROADSTARWomenBlackSmartLooseFitHigh-RiseEasyWashTrousers3.jpg?im=Crop,rect=(249,404,497,921)|https://assets.myntassets.com/assets/images/26893990/2024/1/12/a1f52b8e-d858-4e07-af28-d06636b797961705049323157BROADSTARWomenBlackSmartLooseFitHigh-RiseEasyWashTrousers3.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26467368/2023/12/16/905bc418-717c-40d8-9086-82e79d0228481702719507851StyliWomenPinkCasualShirt1.jpg",Product Details Black knitted parallel trouserLoose fitBrand Fit: smartHigh-riseLength: regularPattern: solidFlat-frontFeature: easy wash2 pocketsSize & FitBrand Fit: Smart  Fit: Loose Fit  The model (height 5'8) is wearing a size 28Material & CareLyocellHand WashSpecificationsWaist RiseHigh-RiseLengthRegularFitLoose FitBrand Fit NameSmartPrint or Pattern TypeSolidClosureSlip-OnType of PleatFlat-FrontWeave TypeKnittedSee More,3.1|42 Ratings,In Stock,28 | 30 | 32 | 34 | 36,Loose Fit,Knit,Women Trousers,https://www.myntra.com/trousers/broadstar/broadstar-women-smart-loose-fit-high-rise-easy-wash-parallel-trouser/26893990/buy
19460432,Women Black Relaxed Straight Fit High-Rise Easy Wash Trousers,KOTTY BIZwear,379,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/18679748/2022/6/9/8f6354de-e268-4bf5-bbfd-a06a9e9b435d1654758682859Trousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/18679750/2022/6/9/a43ffc5c-7330-4781-8e48-70b3e5c7c16a1654755561197Trousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/18697428/2022/6/10/8f74f1cf-432f-41e8-9b58-340ec943b8c21654858423374Trousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/18697444/2022/6/10/a7ccbe30-4d65-4d91-b16d-ac7c42eaa94b1654858508671Trousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/18697450/2022/6/10/4839ace6-f61f-4c1d-b801-4772ef9cea931654860258089Trousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/18920426/2022/6/30/f0a41621-6039-4a8a-8927-2df55eb6ebaa1656592529487KottyWomenBrownRelaxedStraightFitHigh-RiseEasyWashTrousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/18920428/2022/7/1/d99b5281-4920-4d99-a8e1-a4e3fcc124731656670885252KottyWomenNavyBlueRelaxedStraightFitHigh-RiseEasyWashTrouser1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/18920430/2022/6/30/f44ce7ba-a463-4de4-a66a-b34bf8f6cea61656592371400KottyWomenOrangeRelaxedStraightFitHigh-RiseEasyWashTrousers1.jpg","Product Details   Black knitted parallel   Straight fit   Brand Fit: relaxed   High-rise   Length:  regular   Pattern: solid   Flat-front, with no pleats design   Feature:  easy wash   Na pockets  Size & FitBrand Fit: Relaxed  Fit: Straight Fit  The model (height 5'8) is wearing a size 28Material & Care98% Polyester,2% Lycra Machine washSpecificationsWaist RiseHigh-RiseLengthRegularFitStraight FitBrand Fit NameRelaxedPrint or Pattern TypeSolidClosureButtonType of PleatFlat-FrontWeave TypeKnittedSee More",3.9|21.6k Ratings,In Stock,26 | 28 | 30 | 32 | 34,Straight Fit,Polyester,Women Trousers,https://www.myntra.com/trousers/kotty+bizwear/kotty-bizwear-women-black-relaxed-straight-fit-high-rise-easy-wash-trousers/19460432/buy
33526455,Women Relaxed Flared High-Rise Trousers,Blissclub,2299,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/APRIL/8/0yJHRnl9_48d02124b09d4cf1a7c0c72fa70ca373.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/APRIL/9/BZiop4wg_a14295238d1e4990803a5fd013c18020.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/APRIL/12/ZFNhaPAN_a550d558aa354cfdb084df0546794b5d.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/MARCH/27/nokzKRTF_17bed307479b4533a2d46a2a1e193f82.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/20175918/2022/9/26/06d1a873-d856-44ec-a83e-dd7a9db90b8f1664197767880Trousers1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Ribbed Luxury from takeoff to touchdown.Regular Variant for Blissqueens Below 5'4 .Redefine elegance with a blend of structure and comfort. Designed with a high and wide waistband for a sculpted fit, these pants effortlessly flow into a flared silhouette that moves with effortless grace. Crafted luxuriously with a supreme ribbed fabric that provides excellent elasticity and shape retention. They're your first-class ticket to comfort.Size & FitBrand Fit: Relaxed  Fit: Flared  The model (height 5'8) is wearing a size 28Material & Care69% Polyester, 26% Modal, 5% SpandexSpecificationsWaist RiseHigh-RiseLengthRegularFitFlaredBrand Fit NameRelaxedPrint or Pattern TypeSolidClosureSlip-OnType of PleatFlat-FrontWeave TypeKnittedSee More",N/A,In Stock,26 | 29 | 32 | 35 | 39 | 43 | 47,N/A,Polyester,Women Trousers,https://www.myntra.com/trousers/blissclub/blissclub-women-relaxed-flared-high-rise-trousers/33526455/buy
29954932,Women Straight Fit Mid-Rise Trousers,Blissclub,999,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29954929/2025/2/12/439a05f5-623f-459c-b2f4-f8740539b8641739363972103-Blissclub-Women-Straight-Fit-High-Rise-Trousers-593173936397-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29954930/2024/6/28/80efee20-a42f-4a7f-959c-215c7ec7c9cf1719574249968-Blissclub-Women-Straight-Fit-High-Rise-Trousers-195171957424-7.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/29954931/2024/6/28/20504fd7-752d-4985-ae7a-98f205d91f911719574267003-Blissclub-Women-Flared-Fit-High-Rise-Trousers-56317195742668-7.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32475634/2025/2/12/7057324e-32d9-4c7f-aa43-e481074cc71c1739364113990-Blissclub-Women-Ultimate-Straight-Pants--Lite-Tall-Trousers--1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32475636/2025/2/12/a8691c09-d0a4-4ee5-909e-13d74489f2aa1739363959509-Blissclub-Women-Relaxed-Straight-Leg-Womens-Ultimate-Straigh-1.jpg|https://assets.myntassets.com/assets/images/29954932/2024/6/28/632da12b-f718-456f-ab7a-5295ddc4e8db1719574281554-Blissclub-Women-Straight-Fit-Mid-Rise-Trousers-9491719574281-7.jpg?im=Crop,rect=(605,764,173,331)|https://assets.myntassets.com/assets/images/29954932/2024/6/28/632da12b-f718-456f-ab7a-5295ddc4e8db1719574281554-Blissclub-Women-Straight-Fit-Mid-Rise-Trousers-9491719574281-7.jpg?im=Crop,rect=(681,1296,162,130)|https://assets.myntassets.com/assets/images/29954932/2024/6/28/632da12b-f718-456f-ab7a-5295ddc4e8db1719574281554-Blissclub-Women-Straight-Fit-Mid-Rise-Trousers-9491719574281-7.jpg?im=Crop,rect=(368,519,410,777)","Product Details   Black knitted trousers   Straight fit   High-rise   Length:  regular   Pattern: solid   Flat-front, with no pleats design   Feature:  plain   1 pockets  Size & Fit Fit: Straight Fit  The model (height 5'8) is wearing a size 28Material & CareFabric: PolyesterMachine WashSpecificationsWaist RiseHigh-RiseLengthRegularFitStraight FitPrint or Pattern TypeSolidClosureSlip-OnType of PleatFlat-FrontWeave TypeKnittedFly TypeNo FlySee More",4.5|218 Ratings,In Stock,26 | 29 | 32 | 35 | 39 | 43 | 46 | 52,Straight Fit,Polyester,Women Trousers,https://www.myntra.com/trousers/blissclub/blissclub-women-straight-fit-mid-rise-trousers/29954932/buy
30191579,Smart High-Rise Wrinkle Free Trousers,Roadster,599,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30191577/2024/7/18/e8998fba-c3b9-4ec7-a633-44b665a432ae1721282750838-Women-Casual-Solid-Straight-fit-High-Rise-Trouser-Pants-4117-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30191578/2024/7/18/7771254a-ebc2-46d4-a1cb-ca67d9b893d01721282757911-Women-Casual-Solid-Straight-fit-High-Rise-Trouser-Pants-7101-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30191580/2024/7/18/66f643b0-41e0-468f-bd62-9cdab4e49a541721284735063-Women-Casual-Solid-Straight-fit-High-Rise-Trouser-Pants-3711-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30191581/2024/7/18/66281001-06cd-4629-b411-f3e1fce94d141721283778530-Women-Casual-Solid-Straight-fit-High-Rise-Trouser-Pants-9221-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/30191582/2024/7/18/c687562c-c177-4ee4-be5e-ed2a0b1d9e851721282769783-Women-Casual-Solid-Straight-fit-High-Rise-Trouser-Pants-6417-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31779958/2024/12/9/a0c8fc45-ded2-47da-811e-783650c6f7211733744765893-Women-Casual-Solid-Straight-fit-High-Rise-Trouser-Pants-9671-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31779959/2024/12/9/c621362d-45e5-4235-a1c0-fd2ee2ee58ac1733744420219-Women-Casual-Solid-Straight-fit-High-Rise-Trouser-Pants-9931-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31779961/2024/12/9/af14e28c-dd0d-439e-89a7-6391ab6052c91733744938952-Women-Casual-Solid-Straight-fit-High-Rise-Trouser-Pants-6931-1.jpg","Product Details   Coffee brown woven trousers   Regular fit   Brand Fit: smart   High-rise   Length:  regular   Pattern: solid   Flat-front, with no pleats design   Feature:  wrinkle free   2 pockets  Size & FitBrand Fit: Smart Regular FitSize worn by the model: 28Waist: 24""Hips: 34""Height: 5'5""Material & CarePolyesterMachine WashSpecificationsWaist RiseHigh-RiseLengthRegularFitRegular FitBrand Fit NameSmartPrint or Pattern TypeSolidClosureSlip-OnType of PleatFlat-FrontWeave TypeWovenSee More",3.9|699 Ratings,In Stock,28 | 30 | 32 | 34,Regular Fit,Polyester,Women Trousers,https://www.myntra.com/trousers/roadster/roadster-smart-high-rise-wrinkle-free-trousers/30191579/buy
33526453,Women Relaxed High-Rise Trousers,Blissclub,2399,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/APRIL/9/wU4dCXPF_a4a2eea79a6c4101b75b5fd5ef991df7.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/APRIL/8/5jsAAOCa_0724f22b2cf849c7b8abd15f945bccd7.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/24848768/2023/9/7/10132bae-df40-4470-bd9b-6a9891cee8da1694069229547DeFactoWomenTrousers1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/21214612/2022/12/16/8728a98d-c38b-4546-8d17-6e6e1920e6e71671177615599DeMozaWomenNavyBlueLooseFitTrousers1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/24/kHR5Shyv_412fb323d64d4820a13b90066820dbdd.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Ribbed Luxury from takeoff to touchdown ! These are the perfect balance of structure and softness, for those who move in style. The high-rise waistband provides a sleek & sculpted fit, while the wide-leg silhouette flows effortlessly making every step a statement. These pants have a soft inner lining made with modal for a friction-free travel experience. The luxe dual-plated fabric gives a stylish appeal yet ensures inner softness & stretch that retains shape - they're your first-class ticket to comfort.Regular Variant for Blissqueens Below 5'4 .Size & FitBrand Fit: Relaxed  Fit: Relaxed Fit  The model (height 5'8) is wearing a size 28Material & Care69% Polyester, 26% Modal, 5% SpandexSpecificationsWaist RiseHigh-RiseLengthRegularFitRelaxed FitBrand Fit NameRelaxedPrint or Pattern TypeSolidClosureSlip-OnType of PleatFlat-FrontWeave TypeKnittedSee More",N/A,In Stock,29 | 32 | 35 | 39 | 43 | 47,Relaxed Fit,Polyester,Women Trousers,https://www.myntra.com/trousers/blissclub/blissclub-women-relaxed-high-rise-trousers/33526453/buy
14468690,Women Black & Grey Dry Fit Water Repellent Trekking Pants,FORCLAZ By Decathlon,3699,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/SEPTEMBER/27/3vHDz6Le_b1a7c6fbdf124a69b5c6b6126edc6d2e.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/26124830/2023/11/29/1c2ba181-2092-44d9-9c62-d6c75f09579b1701265318542ReebokWomensRieBralette1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/13169148/2020/12/7/f268ffb5-5eef-432b-8a78-6076103bd1fc1607342876041-Quechua-By-Decathlon-Women-Navy-Blue-Solid-Rain-Jacket-63816-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/SEPTEMBER/19/LqTvcdJy_99df5f01afe54bf585c0651c4d12c0a7.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/24633380/2023/9/30/0f20897e-5512-4c76-9258-9078076fa7411696076315045-Puma-Black-Blazer-8081696076314562-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/25539000/2024/12/12/70adc169-002c-4c7e-8a23-2a77e8b3949b1733997032645-CHKOKKO-Colourblocked-Windcheater-Dry-Fit-Hooded-Sporty-Jack-1.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png",Product Details   Black woven chinos   Slim fit   Mid-rise   Length:  regular   Pattern: colourblocked printed   Flat-front design   Feature:  plain   4 pockets  Size & Fit Fit: Slim Fit  The model (height 5'8) is wearing a size 28Material & CarePolyester  Machine washSpecificationsWaist RiseMid-RiseLengthRegularFitSlim FitPrint or Pattern TypeColourblockedClosureSnap ButtonType of PleatFlat-FrontWeave TypeWovenFly TypeZipSee More,4.4|35 Ratings,In Stock,26 | 28 | 30 | 32 | 34,Slim Fit,Polyester,Women Trousers,https://www.myntra.com/trousers/forclaz+by+decathlon/forclaz-by-decathlon-women-black--grey-dry-fit-water-repellent-trekking-pants/14468690/buy
19410206,Women Black High-Waisted Tailored Trousers,H&M,1274,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27726280/2024/2/20/a83c1211-1e59-4f4f-a92e-37bba532ad401708413711131High-waistedtailoredtrousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2024/OCTOBER/4/qFzsQjQ9_9aa5961d148c4fe182a828bd28346228.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31949373/2024/12/12/e2f580c2-2b6a-4075-b498-16d3e2cd3eb01734013102636HMHigh-WaistedTailoredTrousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31981676/2024/12/16/baab68e0-0fe9-4142-981c-d3e52bf46d6a1734341017227High-waistedtailoredtrousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32320988/2025/1/13/db27b93e-947f-45a6-a903-d494489ba4f01736767630592HMHigh-WaistedTailoredTrousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/32321014/2025/1/13/7c8f1e75-476e-4177-bdf5-e51135b811dc1736763064277HMHigh-WaistedTailoredTrousers1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/JANUARY/27/M6aWfHHv_24618810f1bf4c38b9f0a85a33ec4a07.jpg|https://assets.myntassets.com/assets/images/19410206/2022/8/6/9cc8393c-8a4e-439a-b91e-9c77625490b91659768663412High-waistedtailoredtrousers1.jpg?im=Crop,rect=(540,101,22,58)","Product Details Tailored trousers in jersey with a high, elasticated waist. Relaxed fit with diagonal side pockets and wide legs with pleats at the top and creases down the front.Size & FitThe model (height 5'8"") is wearing a size SMaterial & Care5% Elastane, 95% PolyesterMachine Wash SpecificationsWaist RiseHigh-RiseLengthRegularFitStraight FitBrand Fit NameTailoredPrint or Pattern TypeSolidClosureButtonType of PleatPleatedWeave TypeWovenSee More",4.5|4.8k Ratings,In Stock,26 | 29 | 32 | 36 | 41,Relaxed Fit,Polyester,Women Trousers,https://www.myntra.com/trousers/h%26m/hm-women-black-high-waisted-tailored-trousers/19410206/buy
31910719,Women Crinkled Drawstring Trousers,H&M,1299,"https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31910716/2024/12/10/e02f842c-b1a5-4a8a-b870-6f54e5eca1391733834125250-HM-Crinkled-Drawstring-Trousers-6821733834124804-1.jpg|https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/31910764/2024/12/10/36fa6318-3d95-4330-b231-cde93f8cf67e1733834200382-HM-Crinkled-Drawstring-Trousers-331733834200096-1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/FEBRUARY/20/vmvRKKEq_0fa3eb1275e642b39e03e21af858089c.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/30243951/2024/7/19/ee03f3bc-2238-4db5-8120-4f655b2e97721721360440503HMShoulderBagPouch1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/25830938/2024/1/29/9d9c993c-83d7-4699-b716-355c6ef9d40c1706532035267JockeyWomenEnvironmentFriendlyStraightFitMicroModalLoungePan1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2025/JANUARY/18/9IjQ9bC8_820b652e3e344a658b8e1a584a65c2e1.jpg|https://assets.myntassets.com/h_560,q_90,w_420/v1/assets/images/2024/OCTOBER/28/aYyaq9rp_4012904077544f4eab5fdf233f7f6a97.jpg|https://assets.myntassets.com/assets/images/retaillabs/2023/5/22/becb1b16-86cc-4e78-bdc7-7801c17947831684737106127-Return-Window-image.png","Product Details Loose-fit trousers in crinkled jersey with an elasticated, drawstring waist and wide legs.Size & FitThe model (height 5.8') is wearing a size SMaterial & Care98% Polyester, 2% ElastaneMachine WashSpecificationsWaist RiseMid-RiseLengthRegularFitLoose FitPrint or Pattern TypeSolidClosureDrawstringType of PleatPleatedWeave TypeKnittedFly TypeNo FlySee More",4.6|191 Ratings,In Stock,23 | 26 | 29 | 32 | 36 | 41,Loose Fit,Polyester,Women Trousers,https://www.myntra.com/trousers/h%26m/hm-women-crinkled-drawstring-trousers/31910719/buy
